Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1
DDAP-Licensed Treatment Facility,"Retreat at Lancaster County PA, LLC",333 South Seventh Street,Lancaster,717-859-8000,42,071,36,36,"Akron, Pennsylvania 17501
(40.155293, -76.20574)"
DDAP-Licensed Treatment Facility,"The Highland House, Inc.",312 Highland Avenue,Lawrence,724-654-7760,42,073,37,37,"New Castle, Pennsylvania 16101
(41.00421, -80.344315)"
DDAP-Licensed Treatment Facility,Daybreak Treatment Solutions of Bucks County,1288 Veterans Highway,Bucks,267-512-6015,42,017,9,09,"Levittown, Pennsylvania 19056
(40.152478, -74.892763)"
DDAP-Licensed Treatment Facility,The Consortium,451 University Avenue,Philadelphia,215-596-8054,42,101,51,51,"Philadelphia, Pennsylvania 19104
(39.949135, -75.199486)"
DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc",450 Catherine Street,Somerset,814-443-3639,42,111,56,56,"Somerset, Pennsylvania 15501
(40.011107, -79.085597)"
DDAP-Licensed Treatment Facility,"Livengrin Foundation, Inc.",195 Bristol-Oxford Valley Road,Bucks,215-638-5266,42,017,9,09,"Langhorne, Pennsylvania 19047
(40.177345, -74.8703223)"
DDAP-Licensed Treatment Facility,Alliance Counseling Services,7237 Hollywood Road,Montgomery,215-692-2753,42,091,46,46,"Fort Washington, Pennsylvania 19034
(40.138153, -75.213139)"
DDAP-Licensed Treatment Facility,"Habit OPCO, Inc.",118 Monahan Avenue,Lackawanna,570-344-0183,42,069,35,35,"Dunmore, Pennsylvania 18512
(41.4325733, -75.6188886)"
DDAP-Licensed Treatment Facility,Weaver Counseling,4607 Locust Lane,Dauphin,717-652-8481,42,043,22,22,"Harrisburg, Pennsylvania 17109
(40.292304, -76.8104018)"
DDAP-Licensed Treatment Facility,Pyramid Healthcare Inc. Erie Outpatient,2409 State Street,Erie,814-456-2203,42,049,25,25,"Erie, Pennsylvania 16503
(42.1234122, -80.0795368)"
DDAP-Licensed Treatment Facility,RHD Family House,901 Dekalb Street,Montgomery,610-278-0700,42,091,46,46,"Norristown, Pennsylvania 19401
(40.1195049, -75.3390749)"
DDAP-Licensed Treatment Facility,B.I. Incorporated,499 Manor Drive,Cambria,814-471-1801,42,021,11,11,"Ebensburg, Pennsylvania 15931
(40.4897384, -78.7008573)"
DDAP-Licensed Treatment Facility,PA Treatment and Healing,"28 North Front Street, Suite 2",Northumberland,570-649-6855,42,097,49,49,"Milton, Pennsylvania 17847
(41.1202419, -76.7960644)"
DDAP-Licensed Treatment Facility,Recovery Center of America at Devon,235 West Lancaster Avenue,Chester,610-994-2928,42,029,15,15,"Devon, Pennsylvania 19333
(40.045248, -75.427945)"
PacMAT,"Penn State University College of Medicine, Lancaster Health Center-Duke Street",625 South Duke Street,Lancaster,717-299-6371,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.031797, -76.297044)"
Center of Excellence,"Mon Valley Community Health Services, Inc.",2 Eastgate Avenue,Westmoreland,1-888-810-8595,42,129,65,65,"Monessen, Pennsylvania 15062
(40.160189, -79.87092)"
DDAP-Licensed Treatment Facility,Tom Rutter House,100 Moffett Run Road,Beaver,412-766-8700,42,007,4,04,"Aliquippa, Pennsylvania 15001
(40.6365148, -80.3234273)"
DDAP-Licensed Treatment Facility,Center for Families,101 Phoenixville Pike,Chester,610-228-0670,42,029,15,15,"Malvern, Pennsylvania 19355
(40.042851, -75.575924)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services - Reading Psychiatric,"125 South Fifth Street, Second Floor",Berks,610-685-2138,42,011,6,06,"Reading, Pennsylvania 19602
(40.333244, -75.92793)"
DDAP-Licensed Treatment Facility,Phoenix Training Institute,1147 West Liberty Street,Lehigh,610-737-0499,42,077,39,39,"Allentown, Pennsylvania 18102
(40.606644, -75.48441)"
DDAP-Licensed Treatment Facility,"Rehab Management, Inc.","525 West Chester Pike, Suite 205",Delaware,610-889-9939,42,045,23,23,"Havertown, Pennsylvania 19083
(39.9711102, -75.3057423)"
DDAP-Licensed Treatment Facility,Brighter Visions Counseling,27 North Brown Street  Suite B,Mifflin,717-242-1428,42,087,44,44,"Lewistown, Pennsylvania 17044
(40.5986115, -77.5734178)"
DDAP-Licensed Treatment Facility,Family Service And Children's Aid Society,"150 Prospect Avenue, Suite 301",Venango,814-432-3466,42,121,61,61,"Franklin, Pennsylvania 16323
(41.4079998, -79.8340345)"
PacMAT,"Allegheny Health Network, AHN Positive Health Clinic",1307 Federal St. Suite B110,Allegheny,412-359-8348 ,42,003,2,02,"Pittsburgh, Pennsylvania 15212
(40.457212, -80.007814)"
DDAP-Licensed Treatment Facility,"UHS Recovery Foundation, Inc.",2001 Providence Avenue,Delaware,610-876-9000,42,045,23,23,"Chester, Pennsylvania 19013
(39.865808, -75.360827)"
DDAP-Licensed Treatment Facility,Gateway South,375 Valleybrook Road,Washington,724-941-4126,42,125,63,63,"Mcmurray, Pennsylvania 15317
(40.2778478, -80.0839431)"
DDAP-Licensed Treatment Facility,The Gate House For Men,649 East Main Street,Lancaster,717-626-9524,42,071,36,36,"Lititz, Pennsylvania 17543
(40.154278, -76.29145)"
DDAP-Licensed Treatment Facility,"Holcomb Associates, Inc.","400 Creekside Drive, Suite 403",Montgomery,484-925-0990,42,091,46,46,"Pottstown, Pennsylvania 19464
(40.2460279, -75.6014269)"
DDAP-Licensed Treatment Facility,Therapeutic Center at Fox Chase AKA The Bridge,1100 Adams Avenue,Philadelphia,215-342-5000,42,101,51,51,"Philadelphia, Pennsylvania 19124
(40.016323, -75.094893)"
PacMAT,"UPMC Insurance Division, Pyramid Healthcare Blair County",2770 Lakemont Park Blvd,Blair,814-940-0407,42,013,7,07,"Altoona, Pennsylvania 16602
(40.4679479, -78.393136)"
DDAP-Licensed Treatment Facility,Good Works Life Recovery House,102 Old Wynn Road,Fayette,724-564-0159,42,051,26,26,"Uniontown, Pennsylvania 15401
(39.837652, -79.747832)"
DDAP-Licensed Treatment Facility,GPHA/AL Assist Behavioral Health Care Center,"4510 Frankford Avenue, Second Floor",Philadelphia,215-831-9882,42,101,51,51,"Philadelphia, Pennsylvania 19124
(40.0149445, -75.0903154)"
DDAP-Licensed Treatment Facility,Stepping Stones Unit at Meadville Medical Center,1034 Grove Street,Crawford,814-333-5810,42,039,20,20,"Meadville, Pennsylvania 16335
(41.633198, -80.145096)"
DDAP-Licensed Treatment Facility,"Recovery United Pittsburgh Foundation, Inc.",409 Dinwiddie Street,Allegheny,412-339-6787,42,003,2,02,"Pittsburgh, Pennsylvania 15219
(40.44252, -79.98048)"
DDAP-Licensed Treatment Facility,"Community Service Foundation, Inc.",544 Main Street,Northampton,610-807-0210,42,095,48,48,"Bethlehem, Pennsylvania 18018
(40.6215647, -75.3819465)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",18 South George Street,York,717-840-2300,42,133,67,67,"York, Pennsylvania 17401
(39.963094, -76.725595)"
DDAP-Licensed Treatment Facility,Interim House West,4108 Parkside Avenue,Philadelphia,215-871-0300,42,101,51,51,"Philadelphia, Pennsylvania 19104
(39.97523, -75.207357)"
DDAP-Licensed Treatment Facility,Philadelphia Teen Challenge For Ladies,329 East Wister Street,Philadelphia,215-843-2887,42,101,51,51,"Philadelphia, Pennsylvania 19144
(40.0339197, -75.1613405)"
DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc.",313 West High Street 2nd Floor,Cambria,814-472-7888,42,021,11,11,"Ebensburg, Pennsylvania 15931
(40.4852039, -78.7272982)"
Center of Excellence,Pennsylvania Counseling Services - Allison Hill,548 South 17th Street,Dauphin,717-230-1361,42,043,22,22,"Harrisburg, Pennsylvania 17104
(40.259133, -76.861086)"
DDAP-Licensed Treatment Facility,Colonial House Outpatient,"1 East Market Street, Suite 202 & 203",York,717-843-8444,42,133,67,67,"York, Pennsylvania 17401
(39.9591553, -76.736538)"
DDAP-Licensed Treatment Facility,TPALS Turning Point Alternative Living Solutions,431 Wyoming Avenue,Lackawanna,570-878-8213,42,069,35,35,"Scranton, Pennsylvania 18503
(41.41245, -75.66173)"
DDAP-Licensed Treatment Facility,"Cen-Clear, Inc.",601 Wilson Avenue,Blair,814-938-6340,42,013,7,07,"Roaring Spring, Pennsylvania 16673
(40.335854, -78.392337)"
DDAP-Licensed Treatment Facility,Alcohol and Drug Abuse Services Inc.,"279 Route 6 West, Room #3",Potter,814-274-9745,42,105,53,53,"Coudersport, Pennsylvania 16915
(41.7747878, -78.0205602)"
DDAP-Licensed Treatment Facility,"Fayette County Drug and Alcohol Commission, Inc.","100 New Salem Road, Suite 106",Fayette,724-438-3576,42,051,26,26,"Uniontown, Pennsylvania 15401
(39.9111485, -79.7498081)"
PacMAT,"Allegheny Health Network, Natrona Heights OB/GYN",1709 Union Ave,Allegheny,724-226-8711,42,003,2,02,"Natrona Heights, Pennsylvania 15065
(40.62239, -79.724969)"
DDAP-Licensed Treatment Facility,Cove Forge Behavioral Health System at Williamsburg,202 Cove Forge Road,Blair,814-832-2121,42,013,7,07,"Williamsburg, Pennsylvania 16693
(40.4837254, -78.1732623)"
DDAP-Licensed Treatment Facility,Achievement Through Counseling and Treatment,1745 North Fourth Street,Philadelphia,215-236-0100,42,101,51,51,"Philadelphia, Pennsylvania 19122
(39.9775523, -75.1414607)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",626 North Grant Street,Franklin,717-261-9100,42,055,28,28,"Waynesboro, Pennsylvania 17268
(39.763714, -77.57771)"
DDAP-Licensed Treatment Facility,Caron Treatment Centers - Inpatient Non-Hospital Drug Free,"P.O. Box 150, Galen Hall Road, Bldg 100 & 200",Berks,610-678-2332,42,011,6,06,"Wernersville, Pennsylvania 19565
(40.3132452, -76.0919794)"
DDAP-Licensed Treatment Facility,"Ethos Treatment, LLC",21 West Washington Street,Chester,610-256-3400,42,029,15,15,"West Chester, Pennsylvania 19380
(39.962606, -75.608124)"
DDAP-Licensed Treatment Facility,The Open Door,"665 Philadelphia Street, 2nd Floor",Indiana,724-465-2605,42,063,32,32,"Indiana, Pennsylvania 15701
(40.623343, -79.152787)"
DDAP-Licensed Treatment Facility,Truenorth Wellness Services,44 South Franklin Street,Adams,717-334-9111,42,001,1,01,"Gettysburg, Pennsylvania 17325
(39.830115, -77.234682)"
DDAP-Licensed Treatment Facility,Community Guidance Center,600 Leonard Street,Clearfield,814-765-5337,42,033,17,17,"Clearfield, Pennsylvania 16830
(41.021645, -78.4112339)"
DDAP-Licensed Treatment Facility,"Outside-In School of Experiential Education, Inc.",1050 Fort Palmer Road,Westmoreland,724-238-8441,42,129,65,65,"Bolivar, Pennsylvania 15923
(40.299942, -79.17768)"
DDAP-Licensed Treatment Facility,Jack Gerhard Psychological Services,125 Seem Street,Lehigh,610-965-8485,42,077,39,39,"Emmaus, Pennsylvania 18049
(40.542328, -75.492135)"
DDAP-Licensed Treatment Facility,B.I. Incorporated,"125 North Wilkes-Barre Boulevard, Suite 4",Luzerne,570-208-4858,42,079,40,40,"Wilkes-Barre, Pennsylvania 18702
(41.2393007, -75.8834631)"
DDAP-Licensed Treatment Facility,Naaman Center,295 State Drive,Dauphin,717-905-2516,42,043,22,22,"Elizabethville, Pennsylvania 17023
(40.558173, -76.7934046)"
DDAP-Licensed Treatment Facility,Three Rivers Youth,6117 Broad Street,Allegheny,412-441-5020,42,003,2,02,"Pittsburgh, Pennsylvania 15206
(40.462035, -79.922278)"
DDAP-Licensed Treatment Facility,The Care Center D/B/A SPHS Care Center,1610 North Main Street Extension,Butler,724-228-2200,42,019,10,10,"Butler, Pennsylvania 16001
(40.900765, -79.911937)"
DDAP-Licensed Treatment Facility,"Mazzitti and Sullivan Counseling Services, Inc.",1801 Oberlin Road  Suite 302/303,Dauphin,717-901-5652,42,043,22,22,"Middletown, Pennsylvania 17057
(40.233217, -76.767212)"
PacMAT,"Penn State University College of Medicine, Graham Health Clinic",100 South High Street ,Cumberland,717-776-3114,42,041,21,21,"Newville, Pennsylvania 17241
(40.169804, -77.397618)"
DDAP-Licensed Treatment Facility,"Quest Services, Inc.",1169 Philipsburg - Bigler Highway,Centre,814-342-1515,42,027,14,14,"Philipsburg, Pennsylvania 16866
(40.818233, -78.235043)"
DDAP-Licensed Treatment Facility,The Retreat at White Birch Outpatient,"41 North Main Street, 2nd Floor",Lackawanna,570-702-4778,42,069,35,35,"Carbondale, Pennsylvania 18407
(41.573514, -75.502198)"
Center of Excellence,West Penn Allegheny Health System,30 Isabella Street,Allegheny,412-359-4644,42,003,2,02,"Pittsburgh, Pennsylvania 15212
(40.448335, -80.003118)"
DDAP-Licensed Treatment Facility,"Holcomb Associates, Inc.",920 East Baltimore Pike,Chester,610-388-7400,42,029,15,15,"Kennett Square, Pennsylvania 19348
(39.8640618, -75.6768822)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc. - Pyramid Pittsburgh",306 Penn Avenue,Allegheny,412-241-5341,42,003,2,02,"Wilkinsburg, Pennsylvania 15221
(40.445084, -79.891219)"
PacMAT,"UPMC Insurance Division, Erie County Office of Drug and Alcohol Abuse",155 W. 8th Street #401,Erie,814-451-6877,42,049,25,25,"Erie, Pennsylvania 16501
(42.126114, -80.087161)"
DDAP-Licensed Treatment Facility,"East Coast Recovery Services, LLC",1155 Penn Avenue,Berks,610-621-5223,42,011,6,06,"Wyomissing, Pennsylvania 19610
(40.334026, -75.963645)"
DDAP-Licensed Treatment Facility,Mid-Atlantic Rehabilitation Services - A.T.P.,826 Delaware Avenue,Lehigh,610-419-3101,42,077,39,39,"Bethlehem, Pennsylvania 18015
(40.607388, -75.39219)"
Center of Excellence,Together in Health: School-Based Health Services,1401 Fellows Street (inside West Scranton Intermediate School),Lackawanna,570-591-5280,42,069,35,35,"Scranton, Pennsylvania 18504
(41.408984, -75.691597)"
DDAP-Licensed Treatment Facility,Gaudenzia Washington House,1516 Washington Avenue,Philadelphia,215-985-1200,42,101,51,51,"Philadelphia, Pennsylvania 19146
(39.9379587, -75.1691587)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.","205 Chestnut St, Suite 2",Columbia,717-439-2391,42,037,19,19,"Berwick, Pennsylvania 18603
(41.057225, -76.231007)"
DDAP-Licensed Treatment Facility,Choices of Northeastern Pennsylvania,"534 Wyoming Avenue, First Floor",Luzerne,570-552-3700,42,079,40,40,"Kingston, Pennsylvania 18704
(41.2617481, -75.8968635)"
DDAP-Licensed Treatment Facility,"Addiction Medicine and Health Advocate, Inc.",928 Market Street,Philadelphia,215-923-4202,42,101,51,51,"Philadelphia, Pennsylvania 19107
(39.9514055, -75.1559064)"
PacMAT,"Geisinger Clinic, Geisinger Medication Assisted Treatment Program",8 Church Street ,Luzerne ,570-808-3700,42,079,40,40,"Wilkes Barre, Pennsylvania 18765
(41.237119, -75.907173)"
DDAP-Licensed Treatment Facility,Trehab,2800 Turnpike Street,Susquehanna,570-278-5221,42,115,58,58,"Susquehanna, Pennsylvania 18847
(41.929666, -75.590629)"
PacMAT,"Allegheny Health Network, Center for Inclusion Health Clinic",1307 Federal St. Suite B301,Allegheny,412-349-4644,42,003,2,02,"Pittsburgh, Pennsylvania 15212
(40.457212, -80.007814)"
DDAP-Licensed Treatment Facility,Ellen O'Brien Gaiser Addiction Center,315 Liberty Street,Butler,724-256-8882,42,019,10,10,"Butler, Pennsylvania 16001
(40.857964, -79.89777)"
DDAP-Licensed Treatment Facility,The Healing Way,7900 Frankford Avenue,Philadelphia,215-335-3520,42,101,51,51,"Philadelphia, Pennsylvania 19136
(40.041143, -75.029932)"
DDAP-Licensed Treatment Facility,Turning Point Chemical Dependency Treatment Center,"150 Prospect Avenue, Suite 303",Venango,814-346-7217,42,121,61,61,"Franklin, Pennsylvania 16323
(41.4079998, -79.8340345)"
PacMAT,"UPMC Insurance Division, Catholic Charities",429 East Grandview Blvd,Erie,814-824-1250,42,049,25,25,"Erie, Pennsylvania 16514
(42.0979606, -80.05204)"
DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc.","132 Walnut Street,  2nd Floor",Cambria,814-535-8830,42,021,11,11,"Johnstown, Pennsylvania 15901
(40.32761, -78.92157)"
DDAP-Licensed Treatment Facility,Gaudenzia Erie Inc. Edinboro Satellite Office,300 Scotland Road,Erie,814-459-6304,42,049,25,25,"Edinboro, Pennsylvania 16444
(41.8762488, -80.1185016)"
DDAP-Licensed Treatment Facility,"Clem-Mar House, Inc.",92 Church Street,Luzerne,570-674-1575,42,079,40,40,"Dallas, Pennsylvania 18612
(41.3388103, -75.9630659)"
DDAP-Licensed Treatment Facility,Gateway Rehabilitation Center,100 Moffett Run Road,Beaver,724-378-4461,42,007,4,04,"Aliquippa, Pennsylvania 15001
(40.6365148, -80.3234273)"
DDAP-Licensed Treatment Facility,North Philadelphia Health System - Torre De La Raza,"801 West Girard Avenue, 7th and 9th Floor Tower Building",Philadelphia,215-787-2468,42,101,51,51,"Philadelphia, Pennsylvania 19122
(39.9711298, -75.1496002)"
DDAP-Licensed Treatment Facility,Harbor Counseling,7095 Route 287,Tioga,570-724-5272,42,117,59,59,"Wellsboro, Pennsylvania 16901
(41.726977, -77.287817)"
DDAP-Licensed Treatment Facility,First Steps Treatment Center,One Medical Center Boulevard,Delaware,610-619-8817,42,045,23,23,"Upland, Pennsylvania 19013
(39.855763, -75.368191)"
DDAP-Licensed Treatment Facility,RHD Family House Now,1020  North 48 Street,Philadelphia,215-878-8616,42,101,51,51,"Philadelphia, Pennsylvania 19131
(39.970875, -75.21725)"
DDAP-Licensed Treatment Facility,"Progressive Medical Specialists, Inc.",2453 West Pike Road,Washington,724-873-5655,42,125,63,63,"Houston, Pennsylvania 15342
(40.224405, -80.21807)"
DDAP-Licensed Treatment Facility,Conewago - Pottsville,202-204 South Centre Street,Schuylkill,570-628-5835,42,107,54,54,"Pottsville, Pennsylvania 17901
(40.6837762, -76.1938372)"
DDAP-Licensed Treatment Facility,Gaudenzia Inc. Serenity House,2835 North Front Street,Dauphin,717-561-0400,42,043,22,22,"Harrisburg, Pennsylvania 17110
(40.247676, -76.81983)"
DDAP-Licensed Treatment Facility,Arc Manor,"30 Pinnacle Drive, Suite 204, Second Floor",Clarion,800-323-1333,42,031,16,16,"Clarion, Pennsylvania 16214
(41.1678894, -79.3578201)"
Center of Excellence,Family First Health Corporation,116 South George Street,York,717-801-4864,42,133,67,67,"York, Pennsylvania 17401
(39.960863, -76.727155)"
DDAP-Licensed Treatment Facility,RHD Lower Merion Counseling Services,"850 Lancaster Avenue, 2nd Floor",Delaware,610-520-1510,42,045,23,23,"Bryn Mawr, Pennsylvania 19010
(40.022282, -75.32022)"
DDAP-Licensed Treatment Facility,Gateway Monroeville,Penn Center East Building Seven,Allegheny,412-373-2234,42,003,2,02,"Pittsburgh, Pennsylvania 15235
(40.490761, -79.905331)"
DDAP-Licensed Treatment Facility,Greenbriar Treatment Center,"400 Penn Center Boulevard, Building 4, Suite 707",Allegheny,412-829-2103,42,003,2,02,"Pittsburgh, Pennsylvania 15235
(40.4290172, -79.8129799)"
DDAP-Licensed Treatment Facility,Eagleville Hospital,100 Eagleville Road,Montgomery,610-539-6000,42,091,46,46,"Eagleville, Pennsylvania 19403
(40.1558698, -75.4118906)"
DDAP-Licensed Treatment Facility,Biocare Recovery Centers,301 Oxford Valley Road Suite 1402,Bucks,267-392-5200,42,017,9,09,"Yardley, Pennsylvania 19067
(40.245664, -74.8459972)"
DDAP-Licensed Treatment Facility,"Echo Treatment Center, LLC",50 East Wylie Avenue Suite 2-3,Washington,724-222-6220,42,125,63,63,"Washington, Pennsylvania 15301
(40.182179, -80.26352)"
DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.",19 Field Street,McKean,814-837-7691,42,083,42,42,"Kane, Pennsylvania 16735
(41.6607976, -78.8099543)"
DDAP-Licensed Treatment Facility,"Addiction Specialists, Inc.","1023 Pittsburgh Street, Mountain View Plaza, PO Box H",Fayette,724-437-2776,42,051,26,26,"Uniontown, Pennsylvania 15401
(39.862903, -79.7078929)"
DDAP-Licensed Treatment Facility,Conewago Place,424 Nye Road,Dauphin,717-533-0428,42,043,22,22,"Hummelstown, Pennsylvania 17036
(40.2402615, -76.6487104)"
DDAP-Licensed Treatment Facility,"Tadiso, Inc.",1425 Beaver Avenue,Allegheny,412-322-8415,42,003,2,02,"Pittsburgh, Pennsylvania 15233
(40.45418, -80.02931)"
DDAP-Licensed Treatment Facility,Family A.C.T.S. Inc.,610 Kolter Dr,Indiana,724-763-7600,42,063,32,32,"Indiana, Pennsylvania 15701
(40.6089412, -79.1713822)"
DDAP-Licensed Treatment Facility,"STR Addiction Counseling, LLC (Bristol)",921 Radcliffe Street,Bucks,267-244-1107,42,017,9,09,"Bristol, Pennsylvania 19007
(40.099203, -74.847521)"
DDAP-Licensed Treatment Facility,B.I. Incorporated,550 Loudon Street,Franklin,717-263-0450,42,055,28,28,"Chambersburg, Pennsylvania 17201
(39.936563, -77.6723311)"
DDAP-Licensed Treatment Facility,Jefferson Outreach Drug and Alcohol Program Central,"833 Chestnut Street, Suite 210",Philadelphia,215-955-8856,42,101,51,51,"Philadelphia, Pennsylvania 19107
(39.9559288, -75.1574567)"
Center of Excellence,Geisinger Clinic / GIM Danville,100 North Academy Avenue,Montour,904-599-3062,42,093,47,47,"Danville, Pennsylvania 17822
(40.9701, -76.600922)"
DDAP-Licensed Treatment Facility,"Cen-Clear Child Services, Inc.",117 Elk Run Avenue,Jefferson,814-938-6340,42,065,33,33,"Punxsutawney, Pennsylvania 15767
(40.9504027, -78.9642246)"
DDAP-Licensed Treatment Facility,"Alpine Springs Rehabilitation & Recovery Center, LLC",226 West Erie Street,Crawford,724-704-0696,42,039,20,20,"Linesville, Pennsylvania 16424
(41.656301, -80.426696)"
DDAP-Licensed Treatment Facility,Beal Counseling and Consulting,"445 Westridge Road, Suite 103",Somerset,814-444-9696,42,111,56,56,"Somerset, Pennsylvania 15501
(40.0111424, -79.1051115)"
DDAP-Licensed Treatment Facility,Family Services of Western Pennsylvania Tarentum,201 Corbet Street,Allegheny,724-226-0664,42,003,2,02,"Tarentum, Pennsylvania 15084
(40.6012272, -79.7511929)"
DDAP-Licensed Treatment Facility,Home Nursing Agency Community Services,500 East Chestnut Avenue,Blair,814-943-0414,42,013,7,07,"Altoona, Pennsylvania 16601
(40.5287838, -78.3893027)"
DDAP-Licensed Treatment Facility,Family Service Association of Bucks County,4 Cornerstone Drive,Bucks,215-757-6916,42,017,9,09,"Langhorne, Pennsylvania 19047
(40.1745538, -74.9226665)"
DDAP-Licensed Treatment Facility,Abstinent Living at The Turning Point at Washington Women With Children,14 West Walnut Street,Washington,724-228-2203,42,125,63,63,"Washington, Pennsylvania 15301
(40.1737831, -80.2466791)"
DDAP-Licensed Treatment Facility,Path Incorporated,8220 Castor Avenue,Philadelphia,215-728-4600,42,101,51,51,"Philadelphia, Pennsylvania 19152
(40.0653945, -75.0530963)"
DDAP-Licensed Treatment Facility,Gateway/Greentree,1016 Greentree Road Suite 300,Allegheny,412-928-5940,42,003,2,02,"Pittsburgh, Pennsylvania 15220
(40.4160832, -80.0453303)"
DDAP-Licensed Treatment Facility,Arc Manor - Leechburg Satellite,116 Main Street,Armstrong,724-548-7607,42,005,3,03,"Leechburg, Pennsylvania 15656
(40.627617, -79.606679)"
DDAP-Licensed Treatment Facility,Naaman Center,210 South Prince Street,Lancaster,717-394-5495,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.034105, -76.307338)"
DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.","444 East College Avenue, Suite 460",Centre,814-231-0940,42,027,14,14,"State College, Pennsylvania 16801
(40.7986695, -77.855674)"
DDAP-Licensed Treatment Facility,Outside In Pathway To Recovery Outpatient Services,196 Hamill School Road,Westmoreland,724-837-1518,42,129,65,65,"Bolivar, Pennsylvania 15923
(40.2981081, -79.1835871)"
DDAP-Licensed Treatment Facility,Bradford Recovery Systems,"116 Interstate Parkway, 5th Floor",McKean,814-362-8421,42,083,42,42,"Bradford, Pennsylvania 16701
(41.9564953, -78.649163)"
DDAP-Licensed Treatment Facility,White Deer Run of Lancaster,53-55 North West End Avenue,Lancaster,717-396-0650,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.0397054, -76.3231295)"
DDAP-Licensed Treatment Facility,"Pathway Services, LLC",811 West Chester Pike,Chester,610-269-8396,42,029,15,15,"West Chester, Pennsylvania 19382
(39.9666164, -75.5903876)"
DDAP-Licensed Treatment Facility,Butler Regional Recovery Day Program,One Hospital Way,Butler,724-284-4274,42,019,10,10,"Butler, Pennsylvania 16001
(40.866902, -79.880632)"
DDAP-Licensed Treatment Facility,"Gage House, LP",1813 Holland Street,Erie,814-878-2100,42,049,25,25,"Erie, Pennsylvania 16504
(42.119522, -80.073651)"
DDAP-Licensed Treatment Facility,Resources For Human Development,1800 West Street 3rd Floor,Allegheny,412-368-8996,42,003,2,02,"Homestead, Pennsylvania 15120
(40.39983, -79.90489)"
DDAP-Licensed Treatment Facility,Sobriety Solutions Pennsylvania,1000 Germantown Pike,Montgomery,484-965-9524,42,091,46,46,"Plymouth Meeting, Pennsylvania 19462
(40.129261, -75.297043)"
DDAP-Licensed Treatment Facility,Safe Haven Treatment Services,5849 Lincoln Highway,York,717-340-6100,42,133,67,67,"York, Pennsylvania 17406
(40.017659, -76.568858)"
DDAP-Licensed Treatment Facility,"Southwest Behavioral Care, Inc D/B/A SPHS Behavioral Health",203 South Maple Avenue,Westmoreland,724-832-5880,42,129,65,65,"Greensburg, Pennsylvania 15601
(40.301484, -79.542522)"
Center of Excellence,"The Wright Center Medical Group, PC",111 North Washington Avenue,Lackawanna,570-230-0019 ,42,069,35,35,"Scranton, Pennsylvania 18503
(41.40765, -75.664969)"
DDAP-Licensed Treatment Facility,Addiction & Behavioral Counseling Associates,1122 7Th Avenue,Beaver,724-843-0129,42,007,4,04,"Beaver Falls, Pennsylvania 15010
(40.752655, -80.319013)"
DDAP-Licensed Treatment Facility,Community Service Foundation Inc.,1307 West Mcdade Boulevard,Delaware,610-833-1722,42,045,23,23,"Woodlyn, Pennsylvania 19094
(39.8699599, -75.3555525)"
DDAP-Licensed Treatment Facility,"Casa De Consejeria Drug and Alcohol Counseling Program, Inc.",213 West Allegheny Avenue,Philadelphia,215-634-3259,42,101,51,51,"Philadelphia, Pennsylvania 19133
(39.9993679, -75.133684)"
DDAP-Licensed Treatment Facility,"Monroe County Counseling Services, LLC",18 North 7th Street,Monroe,570-242-8979,42,089,45,45,"Stroudsburg, Pennsylvania 18360
(40.985954, -75.194044)"
DDAP-Licensed Treatment Facility,White Deer Run at Blue Mountain,8284 Leaser Road,Lehigh,610-756-4023,42,077,39,39,"Kempton, Pennsylvania 19529
(40.6852103, -75.8518788)"
DDAP-Licensed Treatment Facility,Wesley Spectrum Services,"90 West Chestnut Street, Suite EW",Washington,724-222-7500,42,125,63,63,"Washington, Pennsylvania 15301
(40.1705458, -80.2453512)"
DDAP-Licensed Treatment Facility,White Deer Run of York,1600 Mt Zion Road,York,717-840-2308,42,133,67,67,"York, Pennsylvania 17402
(39.992169, -76.672483)"
DDAP-Licensed Treatment Facility,Gaudenzia Inc. Vantage House,208 East King Street,Lancaster,717-291-1020,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.038063, -76.300822)"
DDAP-Licensed Treatment Facility,"White Deer Run, LLC -  New Castle",413 Highland Avenue,Lawrence,724-657-9916,42,073,37,37,"New Castle, Pennsylvania 16101
(41.00403, -80.3444364)"
DDAP-Licensed Treatment Facility,The Consortium - W.O.R.D. 1,"26 South 40th Street, Second Floor",Philadelphia,215-596-8300,42,101,51,51,"Philadelphia, Pennsylvania 19104
(39.95644, -75.20211)"
