,Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Drug Use Disorder Estimate,Drug Use Disorder Estimate Description,Drug Use Disorder Estimate Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017),Pennsylvania County Boundaries
100,County,Lebanon,All,All (12 to 100 years),2018,2018 Annual,1289,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,38,38,42,075,40.367597002,-76.46182575,"{'type': 'Point', 'coordinates': [-76.46182575, 40.367597002]}",28,371,130,44,25
101,County,Wayne,All,All (12 to 100 years),2020,2020 Annual,688,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,64,64,42,127,41.649698053,-75.3051535,"{'type': 'Point', 'coordinates': [-75.3051535, 41.649698053]}",29,1928,89,433,53
102,County,Sullivan,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,57,57,42,113,41.448099396,-76.5147922,"{'type': 'Point', 'coordinates': [-76.5147922, 41.448099396]}",21,1389,88,416,67
103,County,Northumberland,All,All (12 to 100 years),2020,2020 Annual,2153,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,49,49,42,097,40.851509257,-76.71188423,"{'type': 'Point', 'coordinates': [-76.71188423, 40.851509257]}",22,2094,73,375,60
104,County,Clarion,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.192791288]}",5,1081,24,46,7
105,County,Clearfield,All,All (12 to 100 years),2020,2020 Annual,1166,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,17,17,42,033,41.000429002,-78.47558343,"{'type': 'Point', 'coordinates': [-78.47558343, 41.000429002]}",16,276,19,141,8
106,County,Warren,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.816752365]}",5,1741,60,234,51
107,County,Crawford,All,All (12 to 100 years),2019,2019 Annual,1485,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,20,20,42,039,41.685469069,-80.11321083,"{'type': 'Point', 'coordinates': [-80.11321083, 41.685469069]}",3,1995,47,344,16
108,County,Indiana,All,All (12 to 100 years),2020,2020 Annual,2093,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,32,32,42,063,40.652954975,-79.09333493,"{'type': 'Point', 'coordinates': [-79.09333493, 40.652954975]}",15,415,27,269,19
109,County,Columbia,All,All (12 to 100 years),2016,2016 Annual,915,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,19,19,42,037,41.049120856,-76.4100218,"{'type': 'Point', 'coordinates': [-76.4100218, 41.049120856]}",22,1073,90,24,10
110,County,Fulton,All,All (12 to 100 years),2016,2016 Annual,767,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,"{'type': 'Point', 'coordinates': [-78.11485045, 39.924875109]}",17,164,31,472,36
111,State,Commonwealth,All,35 to 44 years,2018,2018 Annual,76211,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
112,County,Sullivan,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,57,57,42,113,41.448099396,-76.5147922,"{'type': 'Point', 'coordinates': [-76.5147922, 41.448099396]}",21,1389,88,416,67
113,County,Venango,All,All (12 to 100 years),2016,2016 Annual,826,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,61,61,42,121,41.403412586,-79.76286561,"{'type': 'Point', 'coordinates': [-79.76286561, 41.403412586]}",5,1400,45,71,50
114,County,Fulton,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,"{'type': 'Point', 'coordinates': [-78.11485045, 39.924875109]}",17,164,31,472,36
115,County,Lackawanna,All,All (12 to 100 years),2019,2019 Annual,4898,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,"{'type': 'Point', 'coordinates': [-75.61218345, 41.439100643]}",34,1283,125,253,22
116,County,Cameron,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,"{'type': 'Point', 'coordinates': [-78.20916932, 41.438802653]}",14,1009,14,105,3
117,County,Philadelphia,All,All (12 to 100 years),2017,2017 Annual,61509,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,51,51,42,101,40.004443538,-75.140236,"{'type': 'Point', 'coordinates': [-75.140236, 40.004443538]}",46,1069,182,365,13
118,County,Allegheny,All,All (12 to 100 years),2018,2018 Annual,31644,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,2,02,42,003,40.46735543,-79.98619843,"{'type': 'Point', 'coordinates': [-79.98619843, 40.46735543]}",6,2158,163,324,40
119,County,Elk,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,24,24,42,047,41.428194161,-78.64947713,"{'type': 'Point', 'coordinates': [-78.64947713, 41.428194161]}",14,1258,15,405,29
120,County,Berks,All,All (12 to 100 years),2017,2017 Annual,6363,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,6,06,42,011,40.419396351,-75.93077327,"{'type': 'Point', 'coordinates': [-75.93077327, 40.419396351]}",27,191,46,435,45
121,County,Wyoming,All,All (12 to 100 years),2018,2018 Annual,1084,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,66,66,42,131,41.51892488,-76.01813003,"{'type': 'Point', 'coordinates': [-76.01813003, 41.51892488]}",29,2460,91,444,11
122,County,Cameron,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,"{'type': 'Point', 'coordinates': [-78.20916932, 41.438802653]}",14,1009,14,105,3
123,County,Juniata,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,34,34,42,067,40.534330084,-77.405775,"{'type': 'Point', 'coordinates': [-77.405775, 40.534330084]}",18,53,36,201,21
124,County,Mifflin,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,44,44,42,087,40.61274928,-77.62003089,"{'type': 'Point', 'coordinates': [-77.62003089, 40.61274928]}",18,587,36,295,55
125,County,Somerset,All,All (12 to 100 years),2016,2016 Annual,1947,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,56,56,42,111,39.97146299,-79.03100206,"{'type': 'Point', 'coordinates': [-79.03100206, 39.97146299]}",1,799,30,428,66
126,County,Cambria,All,All (12 to 100 years),2017,2017 Annual,4909,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,"{'type': 'Point', 'coordinates': [-78.71894174, 40.491274907]}",16,1228,20,23,2
127,County,Cameron,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,"{'type': 'Point', 'coordinates': [-78.20916932, 41.438802653]}",14,1009,14,105,3
128,County,Blair,All,All (12 to 100 years),2020,2020 Annual,2781,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,"{'type': 'Point', 'coordinates': [-78.34907687, 40.485550238]}",17,294,28,268,46
129,County,Monroe,All,All (12 to 100 years),2019,2019 Annual,3034,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,45,45,42,089,41.060917865,-75.34083603,"{'type': 'Point', 'coordinates': [-75.34083603, 41.060917865]}",38,912,121,362,56
130,County,Venango,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,61,61,42,121,41.403412586,-79.76286561,"{'type': 'Point', 'coordinates': [-79.76286561, 41.403412586]}",5,1400,45,71,50
131,State,Commonwealth,All,65+ years,2020,2020 Annual,12559,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
132,State,Commonwealth,Male,All (12 to 100 years),2018,2018 Annual,205334,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
133,State,Commonwealth,All,65+ years,2016,2016 Annual,3688,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
134,County,Erie,All,All (12 to 100 years),2018,2018 Annual,4717,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,25,25,42,049,41.99413787,-80.0407591,"{'type': 'Point', 'coordinates': [-80.0407591, 41.99413787]}",3,1153,52,163,30
135,County,Mifflin,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,44,44,42,087,40.61274928,-77.62003089,"{'type': 'Point', 'coordinates': [-77.62003089, 40.61274928]}",18,587,36,295,55
136,County,Lehigh,All,All (12 to 100 years),2020,2020 Annual,6728,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,39,39,42,077,40.614647942,-75.60099481,"{'type': 'Point', 'coordinates': [-75.60099481, 40.614647942]}",36,506,115,336,26
137,County,Berks,All,All (12 to 100 years),2018,2018 Annual,6094,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,6,06,42,011,40.419396351,-75.93077327,"{'type': 'Point', 'coordinates': [-75.93077327, 40.419396351]}",27,191,46,435,45
138,County,Snyder,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,55,55,42,109,40.771137369,-77.07255968,"{'type': 'Point', 'coordinates': [-77.07255968, 40.771137369]}",22,2255,72,254,65
139,County,Delaware,All,All (12 to 100 years),2017,2017 Annual,14574,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,23,23,42,045,39.916578665,-75.40627712,"{'type': 'Point', 'coordinates': [-75.40627712, 39.916578665]}",35,782,63,380,28
140,County,Cambria,All,All (12 to 100 years),2020,2020 Annual,4306,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,"{'type': 'Point', 'coordinates': [-78.71894174, 40.491274907]}",16,1228,20,23,2
141,County,Clarion,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.192791288]}",5,1081,24,46,7
142,County,Lebanon,All,All (12 to 100 years),2017,2017 Annual,1030,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,38,38,42,075,40.367597002,-76.46182575,"{'type': 'Point', 'coordinates': [-76.46182575, 40.367597002]}",28,371,130,44,25
143,County,Warren,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.816752365]}",5,1741,60,234,51
144,County,Dauphin,All,All (12 to 100 years),2020,2020 Annual,5920,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,22,22,42,043,40.41974636,-76.77960568,"{'type': 'Point', 'coordinates': [-76.77960568, 40.41974636]}",23,2368,41,25,18
145,State,Commonwealth,All,All (12 to 100 years),2017,2017 Annual,303000,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
146,County,Greene,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,"{'type': 'Point', 'coordinates': [-80.22943817, 39.854803934]}",12,1570,1,481,37
147,County,Northumberland,All,All (12 to 100 years),2018,2018 Annual,1670,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,49,49,42,097,40.851509257,-76.71188423,"{'type': 'Point', 'coordinates': [-76.71188423, 40.851509257]}",22,2094,73,375,60
148,County,Butler,All,All (12 to 100 years),2017,2017 Annual,5696,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,10,10,42,019,40.910831848,-79.91711779,"{'type': 'Point', 'coordinates': [-79.91711779, 40.910831848]}",5,738,12,100,1
149,County,Butler,All,All (12 to 100 years),2018,2018 Annual,2959,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,10,10,42,019,40.910831848,-79.91711779,"{'type': 'Point', 'coordinates': [-79.91711779, 40.910831848]}",5,738,12,100,1
150,County,Beaver,All,All (12 to 100 years),2016,2016 Annual,7788,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,4,04,42,007,40.683492455,-80.35107356,"{'type': 'Point', 'coordinates': [-80.35107356, 40.683492455]}",2,379,23,2,42
151,County,Mercer,All,All (12 to 100 years),2017,2017 Annual,2363,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,43,43,42,085,41.302377765,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.302377765]}",3,1048,48,300,54
152,County,Indiana,All,All (12 to 100 years),2016,2016 Annual,3186,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,32,32,42,063,40.652954975,-79.09333493,"{'type': 'Point', 'coordinates': [-79.09333493, 40.652954975]}",15,415,27,269,19
153,County,Schuylkill,All,All (12 to 100 years),2020,2020 Annual,1794,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,54,54,42,107,40.707512431,-76.22332385,"{'type': 'Point', 'coordinates': [-76.22332385, 40.707512431]}",27,1343,127,304,64
154,County,Northampton,All,All (12 to 100 years),2017,2017 Annual,6363,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.754595404]}",38,1339,113,280,59
155,County,Wayne,All,All (12 to 100 years),2016,2016 Annual,974,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,64,64,42,127,41.649698053,-75.3051535,"{'type': 'Point', 'coordinates': [-75.3051535, 41.649698053]}",29,1928,89,433,53
156,County,McKean,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,42,42,42,083,41.810370736,-78.5712202,"{'type': 'Point', 'coordinates': [-78.5712202, 41.810370736]}",14,1778,14,424,47
157,County,Fayette,All,All (12 to 100 years),2020,2020 Annual,4425,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,26,26,42,051,39.919447803,-79.65189635,"{'type': 'Point', 'coordinates': [-79.65189635, 39.919447803]}",1,435,8,204,31
158,State,Commonwealth,All,35 to 44 years,2019,2019 Annual,82507,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
159,County,Columbia,All,All (12 to 100 years),2017,2017 Annual,848,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,19,19,42,037,41.049120856,-76.4100218,"{'type': 'Point', 'coordinates': [-76.4100218, 41.049120856]}",22,1073,90,24,10
160,County,Beaver,All,All (12 to 100 years),2019,2019 Annual,4898,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,4,04,42,007,40.683492455,-80.35107356,"{'type': 'Point', 'coordinates': [-80.35107356, 40.683492455]}",2,379,23,2,42
161,State,Commonwealth,Male,All (12 to 100 years),2016,2016 Annual,204789,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
162,County,Fayette,All,All (12 to 100 years),2019,2019 Annual,3413,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,26,26,42,051,39.919447803,-79.65189635,"{'type': 'Point', 'coordinates': [-79.65189635, 39.919447803]}",1,435,8,204,31
163,County,Mercer,All,All (12 to 100 years),2020,2020 Annual,2781,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,43,43,42,085,41.302377765,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.302377765]}",3,1048,48,300,54
164,County,McKean,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,42,42,42,083,41.810370736,-78.5712202,"{'type': 'Point', 'coordinates': [-78.5712202, 41.810370736]}",14,1778,14,424,47
165,State,Commonwealth,All,0 to 14 years,2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
166,County,Susquehanna,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,58,58,42,115,41.820568598,-75.80250303,"{'type': 'Point', 'coordinates': [-75.80250303, 41.820568598]}",21,2466,89,321,44
167,County,Armstrong,All,All (12 to 100 years),2018,2018 Annual,2022,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,"{'type': 'Point', 'coordinates': [-79.47316899, 40.815095256]}",15,834,11,106,41
168,County,Delaware,All,All (12 to 100 years),2016,2016 Annual,13688,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,23,23,42,045,39.916578665,-75.40627712,"{'type': 'Point', 'coordinates': [-75.40627712, 39.916578665]}",35,782,63,380,28
169,County,Erie,All,All (12 to 100 years),2016,2016 Annual,5133,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,25,25,42,049,41.99413787,-80.0407591,"{'type': 'Point', 'coordinates': [-80.0407591, 41.99413787]}",3,1153,52,163,30
170,County,Warren,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.816752365]}",5,1741,60,234,51
171,County,Elk,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,24,24,42,047,41.428194161,-78.64947713,"{'type': 'Point', 'coordinates': [-78.64947713, 41.428194161]}",14,1258,15,405,29
172,County,Lancaster,All,All (12 to 100 years),2016,2016 Annual,7936,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,36,36,42,071,40.045907962,-76.25138768,"{'type': 'Point', 'coordinates': [-76.25138768, 40.045907962]}",25,222,144,74,23
173,State,Commonwealth,All,45 to 54 years,2018,2018 Annual,58131,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
174,County,Lehigh,All,All (12 to 100 years),2019,2019 Annual,6067,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,39,39,42,077,40.614647942,-75.60099481,"{'type': 'Point', 'coordinates': [-75.60099481, 40.614647942]}",36,506,115,336,26
175,County,Snyder,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,55,55,42,109,40.771137369,-77.07255968,"{'type': 'Point', 'coordinates': [-77.07255968, 40.771137369]}",22,2255,72,254,65
176,County,Clearfield,All,All (12 to 100 years),2018,2018 Annual,1524,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,17,17,42,033,41.000429002,-78.47558343,"{'type': 'Point', 'coordinates': [-78.47558343, 41.000429002]}",16,276,19,141,8
177,County,Somerset,All,All (12 to 100 years),2019,2019 Annual,1232,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,56,56,42,111,39.97146299,-79.03100206,"{'type': 'Point', 'coordinates': [-79.03100206, 39.97146299]}",1,799,30,428,66
178,County,Bradford,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,8,08,42,015,41.79117814,-76.51825624,"{'type': 'Point', 'coordinates': [-76.51825624, 41.79117814]}",21,442,88,349,34
179,County,Washington,All,All (12 to 100 years),2017,2017 Annual,6302,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,63,63,42,125,40.191096635,-80.25180083,"{'type': 'Point', 'coordinates': [-80.25180083, 40.191096635]}",12,1132,4,351,52
180,County,Susquehanna,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,58,58,42,115,41.820568598,-75.80250303,"{'type': 'Point', 'coordinates': [-75.80250303, 41.820568598]}",21,2466,89,321,44
181,County,Carbon,All,All (12 to 100 years),2018,2018 Annual,2110,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,13,13,42,025,40.919367008,-75.71107039,"{'type': 'Point', 'coordinates': [-75.71107039, 40.919367008]}",30,688,108,199,4
182,County,Franklin,All,All (12 to 100 years),2018,2018 Annual,1524,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,28,28,42,055,39.92786197,-77.72398845,"{'type': 'Point', 'coordinates': [-77.72398845, 39.92786197]}",19,380,33,19,33
183,County,Carbon,All,All (12 to 100 years),2016,2016 Annual,1534,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,13,13,42,025,40.919367008,-75.71107039,"{'type': 'Point', 'coordinates': [-75.71107039, 40.919367008]}",30,688,108,199,4
184,County,Lackawanna,All,All (12 to 100 years),2016,2016 Annual,4809,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,"{'type': 'Point', 'coordinates': [-75.61218345, 41.439100643]}",34,1283,125,253,22
185,County,Montgomery,All,All (12 to 100 years),2019,2019 Annual,15737,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,46,46,42,091,40.209898739,-75.37252001,"{'type': 'Point', 'coordinates': [-75.37252001, 40.209898739]}",33,1082,152,249,57
186,County,Philadelphia,All,All (12 to 100 years),2019,2019 Annual,76377,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,51,51,42,101,40.004443538,-75.140236,"{'type': 'Point', 'coordinates': [-75.140236, 40.004443538]}",46,1069,182,365,13
187,County,Perry,All,All (12 to 100 years),2016,2016 Annual,767,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,50,50,42,099,40.404153174,-77.25907385,"{'type': 'Point', 'coordinates': [-77.25907385, 40.404153174]}",23,1648,37,485,61
188,County,Indiana,All,All (12 to 100 years),2017,2017 Annual,2545,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,32,32,42,063,40.652954975,-79.09333493,"{'type': 'Point', 'coordinates': [-79.09333493, 40.652954975]}",15,415,27,269,19
189,County,Lycoming,All,All (12 to 100 years),2019,2019 Annual,1643,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,41,41,42,081,41.344597923,-77.06942457,"{'type': 'Point', 'coordinates': [-77.06942457, 41.344597923]}",21,1905,75,441,15
190,County,Lycoming,All,All (12 to 100 years),2018,2018 Annual,733,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,41,41,42,081,41.344597923,-77.06942457,"{'type': 'Point', 'coordinates': [-77.06942457, 41.344597923]}",21,1905,75,441,15
191,County,Columbia,All,All (12 to 100 years),2019,2019 Annual,1074,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,19,19,42,037,41.049120856,-76.4100218,"{'type': 'Point', 'coordinates': [-76.4100218, 41.049120856]}",22,1073,90,24,10
192,County,Clinton,All,All (12 to 100 years),2016,2016 Annual,915,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,18,18,42,035,41.232862737,-77.6428376,"{'type': 'Point', 'coordinates': [-77.6428376, 41.232862737]}",14,1835,74,206,9
193,County,Warren,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.816752365]}",5,1741,60,234,51
194,County,Armstrong,All,All (12 to 100 years),2016,2016 Annual,3186,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,"{'type': 'Point', 'coordinates': [-79.47316899, 40.815095256]}",15,834,11,106,41
195,County,Westmoreland,All,All (12 to 100 years),2020,2020 Annual,7953,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,65,65,42,129,40.310314999,-79.47134118,"{'type': 'Point', 'coordinates': [-79.47134118, 40.310314999]}",13,2447,6,209,24
196,County,Monroe,All,All (12 to 100 years),2016,2016 Annual,1682,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,45,45,42,089,41.060917865,-75.34083603,"{'type': 'Point', 'coordinates': [-75.34083603, 41.060917865]}",38,912,121,362,56
197,State,Commonwealth,All,25 to 34 years,2020,2020 Annual,69727,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
198,County,Susquehanna,All,All (12 to 100 years),2017,2017 Annual,606,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,58,58,42,115,41.820568598,-75.80250303,"{'type': 'Point', 'coordinates': [-75.80250303, 41.820568598]}",21,2466,89,321,44
199,County,Luzerne,All,All (12 to 100 years),2016,2016 Annual,8673,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,40,40,42,079,41.178364388,-75.9919961,"{'type': 'Point', 'coordinates': [-75.9919961, 41.178364388]}",30,406,92,52,14
200,County,Clinton,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,18,18,42,035,41.232862737,-77.6428376,"{'type': 'Point', 'coordinates': [-77.6428376, 41.232862737]}",14,1835,74,206,9
201,State,Commonwealth,All,25 to 34 years,2019,2019 Annual,83550,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
