,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
211,Center of Excellence,Together in Health: School-Based Health Services,1401 Fellows Street (inside West Scranton Intermediate School),Lackawanna,570-591-5280,42,069,35,35,"{'latitude': '41.408984', 'longitude': '-75.691597', 'human_address': '{""address"": """", ""city"": ""Scranton"", ""state"": ""Pennsylvania"", ""zip"": ""18504""}'}",1912,420,101,34,22
212,DDAP-Licensed Treatment Facility,Gaudenzia Washington House,1516 Washington Avenue,Philadelphia,215-985-1200,42,101,51,51,"{'latitude': '39.9379587', 'longitude': '-75.1691587', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19146""}'}",1069,365,192,44,13
213,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.","205 Chestnut St, Suite 2",Columbia,717-439-2391,42,037,19,19,"{'latitude': '41.057225', 'longitude': '-76.231007', 'human_address': '{""address"": """", ""city"": ""Berwick"", ""state"": ""Pennsylvania"", ""zip"": ""18603""}'}",1697,120,90,22,10
214,DDAP-Licensed Treatment Facility,Choices of Northeastern Pennsylvania,"534 Wyoming Avenue, First Floor",Luzerne,570-552-3700,42,079,40,40,"{'latitude': '41.2617481', 'longitude': '-75.8968635', 'human_address': '{""address"": """", ""city"": ""Kingston"", ""state"": ""Pennsylvania"", ""zip"": ""18704""}'}",1245,493,98,29,14
215,DDAP-Licensed Treatment Facility,"Addiction Medicine and Health Advocate, Inc.",928 Market Street,Philadelphia,215-923-4202,42,101,51,51,"{'latitude': '39.9514055', 'longitude': '-75.1559064', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19107""}'}",1069,365,183,47,13
216,PacMAT,"Geisinger Clinic, Geisinger Medication Assisted Treatment Program",8 Church Street ,Luzerne ,570-808-3700,42,079,40,40,"{'latitude': '41.237119', 'longitude': '-75.907173', 'human_address': '{""address"": """", ""city"": ""Wilkes Barre"", ""state"": ""Pennsylvania"", ""zip"": ""18765""}'}",1517,453,99,30,14
217,DDAP-Licensed Treatment Facility,Trehab,2800 Turnpike Street,Susquehanna,570-278-5221,42,115,58,58,"{'latitude': '41.929666', 'longitude': '-75.590629', 'human_address': '{""address"": """", ""city"": ""Susquehanna"", ""state"": ""Pennsylvania"", ""zip"": ""18847""}'}",249,417,89,29,44
218,PacMAT,"Allegheny Health Network, Center for Inclusion Health Clinic",1307 Federal St. Suite B301,Allegheny,412-349-4644,42,003,2,02,"{'latitude': '40.457212', 'longitude': '-80.007814', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15212""}'}",2158,324,164,6,40
219,DDAP-Licensed Treatment Facility,Ellen O'Brien Gaiser Addiction Center,315 Liberty Street,Butler,724-256-8882,42,019,10,10,"{'latitude': '40.857964', 'longitude': '-79.89777', 'human_address': '{""address"": """", ""city"": ""Butler"", ""state"": ""Pennsylvania"", ""zip"": ""16001""}'}",1378,100,10,5,1
220,DDAP-Licensed Treatment Facility,The Healing Way,7900 Frankford Avenue,Philadelphia,215-335-3520,42,101,51,51,"{'latitude': '40.041143', 'longitude': '-75.029932', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19136""}'}",1069,365,123,48,13
221,DDAP-Licensed Treatment Facility,Turning Point Chemical Dependency Treatment Center,"150 Prospect Avenue, Suite 303",Venango,814-346-7217,42,121,61,61,"{'latitude': '41.4079998', 'longitude': '-79.8340345', 'human_address': '{""address"": """", ""city"": ""Franklin"", ""state"": ""Pennsylvania"", ""zip"": ""16323""}'}",2083,394,45,5,50
222,PacMAT,"UPMC Insurance Division, Catholic Charities",429 East Grandview Blvd,Erie,814-824-1250,42,049,25,25,"{'latitude': '42.0979606', 'longitude': '-80.05204', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16514""}'}",2347,309,49,4,30
223,DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc.","132 Walnut Street,  2nd Floor",Cambria,814-535-8830,42,021,11,11,"{'latitude': '40.32761', 'longitude': '-78.92157', 'human_address': '{""address"": """", ""city"": ""Johnstown"", ""state"": ""Pennsylvania"", ""zip"": ""15901""}'}",339,208,21,16,2
224,DDAP-Licensed Treatment Facility,Gaudenzia Erie Inc. Edinboro Satellite Office,300 Scotland Road,Erie,814-459-6304,42,049,25,25,"{'latitude': '41.8762488', 'longitude': '-80.1185016', 'human_address': '{""address"": """", ""city"": ""Edinboro"", ""state"": ""Pennsylvania"", ""zip"": ""16444""}'}",2386,91,49,3,30
225,DDAP-Licensed Treatment Facility,"Clem-Mar House, Inc.",92 Church Street,Luzerne,570-674-1575,42,079,40,40,"{'latitude': '41.3388103', 'longitude': '-75.9630659', 'human_address': '{""address"": """", ""city"": ""Dallas"", ""state"": ""Pennsylvania"", ""zip"": ""18612""}'}",199,42,91,29,14
226,DDAP-Licensed Treatment Facility,Gateway Rehabilitation Center,100 Moffett Run Road,Beaver,724-378-4461,42,007,4,04,"{'latitude': '40.6365148', 'longitude': '-80.3234273', 'human_address': '{""address"": """", ""city"": ""Aliquippa"", ""state"": ""Pennsylvania"", ""zip"": ""15001""}'}",89,21,23,2,42
227,DDAP-Licensed Treatment Facility,North Philadelphia Health System - Torre De La Raza,"801 West Girard Avenue, 7th and 9th Floor Tower Building",Philadelphia,215-787-2468,42,101,51,51,"{'latitude': '39.9711298', 'longitude': '-75.1496002', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19122""}'}",1069,365,194,47,13
228,DDAP-Licensed Treatment Facility,Harbor Counseling,7095 Route 287,Tioga,570-724-5272,42,117,59,59,"{'latitude': '41.726977', 'longitude': '-77.287817', 'human_address': '{""address"": """", ""city"": ""Wellsboro"", ""state"": ""Pennsylvania"", ""zip"": ""16901""}'}",253,477,77,14,48
229,DDAP-Licensed Treatment Facility,First Steps Treatment Center,One Medical Center Boulevard,Delaware,610-619-8817,42,045,23,23,"{'latitude': '39.855763', 'longitude': '-75.368191', 'human_address': '{""address"": """", ""city"": ""Upland"", ""state"": ""Pennsylvania"", ""zip"": ""19013""}'}",2090,160,65,35,28
230,DDAP-Licensed Treatment Facility,RHD Family House Now,1020  North 48 Street,Philadelphia,215-878-8616,42,101,51,51,"{'latitude': '39.970875', 'longitude': '-75.21725', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19131""}'}",1069,365,188,43,13
231,DDAP-Licensed Treatment Facility,"Progressive Medical Specialists, Inc.",2453 West Pike Road,Washington,724-873-5655,42,125,63,63,"{'latitude': '40.224405', 'longitude': '-80.21807', 'human_address': '{""address"": """", ""city"": ""Houston"", ""state"": ""Pennsylvania"", ""zip"": ""15342""}'}",1794,136,4,12,52
232,DDAP-Licensed Treatment Facility,Conewago - Pottsville,202-204 South Centre Street,Schuylkill,570-628-5835,42,107,54,54,"{'latitude': '40.6837762', 'longitude': '-76.1938372', 'human_address': '{""address"": """", ""city"": ""Pottsville"", ""state"": ""Pennsylvania"", ""zip"": ""17901""}'}",1892,304,53,27,64
233,DDAP-Licensed Treatment Facility,Gaudenzia Inc. Serenity House,2835 North Front Street,Dauphin,717-561-0400,42,043,22,22,"{'latitude': '40.247676', 'longitude': '-76.81983', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17110""}'}",1932,25,69,28,18
234,DDAP-Licensed Treatment Facility,Arc Manor,"30 Pinnacle Drive, Suite 204, Second Floor",Clarion,800-323-1333,42,031,16,16,"{'latitude': '41.1678894', 'longitude': '-79.3578201', 'human_address': '{""address"": """", ""city"": ""Clarion"", ""state"": ""Pennsylvania"", ""zip"": ""16214""}'}",454,47,24,5,7
235,Center of Excellence,Family First Health Corporation,116 South George Street,York,717-801-4864,42,133,67,67,"{'latitude': '39.960863', 'longitude': '-76.727155', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17401""}'}",1155,495,135,24,12
236,DDAP-Licensed Treatment Facility,RHD Lower Merion Counseling Services,"850 Lancaster Avenue, 2nd Floor",Delaware,610-520-1510,42,045,23,23,"{'latitude': '40.022282', 'longitude': '-75.32022', 'human_address': '{""address"": """", ""city"": ""Bryn Mawr"", ""state"": ""Pennsylvania"", ""zip"": ""19010""}'}",673,230,175,41,57
237,DDAP-Licensed Treatment Facility,Gateway Monroeville,Penn Center East Building Seven,Allegheny,412-373-2234,42,003,2,02,"{'latitude': '40.490761', 'longitude': '-79.905331', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15235""}'}",1823,172,105,9,40
238,DDAP-Licensed Treatment Facility,Greenbriar Treatment Center,"400 Penn Center Boulevard, Building 4, Suite 707",Allegheny,412-829-2103,42,003,2,02,"{'latitude': '40.4290172', 'longitude': '-79.8129799', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15235""}'}",1664,489,93,11,40
239,DDAP-Licensed Treatment Facility,Eagleville Hospital,100 Eagleville Road,Montgomery,610-539-6000,42,091,46,46,"{'latitude': '40.1558698', 'longitude': '-75.4118906', 'human_address': '{""address"": """", ""city"": ""Eagleville"", ""state"": ""Pennsylvania"", ""zip"": ""19403""}'}",1433,249,61,33,57
240,DDAP-Licensed Treatment Facility,Biocare Recovery Centers,301 Oxford Valley Road Suite 1402,Bucks,267-392-5200,42,017,9,09,"{'latitude': '40.245664', 'longitude': '-74.8459972', 'human_address': '{""address"": """", ""city"": ""Yardley"", ""state"": ""Pennsylvania"", ""zip"": ""19067""}'}",399,358,168,40,35
241,DDAP-Licensed Treatment Facility,"Echo Treatment Center, LLC",50 East Wylie Avenue Suite 2-3,Washington,724-222-6220,42,125,63,63,"{'latitude': '40.182179', 'longitude': '-80.26352', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2097,455,4,12,52
242,DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.",19 Field Street,McKean,814-837-7691,42,083,42,42,"{'latitude': '41.6607976', 'longitude': '-78.8099543', 'human_address': '{""address"": """", ""city"": ""Kane"", ""state"": ""Pennsylvania"", ""zip"": ""16735""}'}",1040,84,14,14,47
243,DDAP-Licensed Treatment Facility,"Addiction Specialists, Inc.","1023 Pittsburgh Street, Mountain View Plaza, PO Box H",Fayette,724-437-2776,42,051,26,26,"{'latitude': '39.862903', 'longitude': '-79.7078929', 'human_address': '{""address"": """", ""city"": ""Uniontown"", ""state"": ""Pennsylvania"", ""zip"": ""15401""}'}",1284,204,7,1,31
244,DDAP-Licensed Treatment Facility,Conewago Place,424 Nye Road,Dauphin,717-533-0428,42,043,22,22,"{'latitude': '40.2402615', 'longitude': '-76.6487104', 'human_address': '{""address"": """", ""city"": ""Hummelstown"", ""state"": ""Pennsylvania"", ""zip"": ""17036""}'}",1763,158,69,28,18
245,DDAP-Licensed Treatment Facility,"Tadiso, Inc.",1425 Beaver Avenue,Allegheny,412-322-8415,42,003,2,02,"{'latitude': '40.45418', 'longitude': '-80.02931', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15233""}'}",2158,324,164,6,40
246,DDAP-Licensed Treatment Facility,Family A.C.T.S. Inc.,610 Kolter Dr,Indiana,724-763-7600,42,063,32,32,"{'latitude': '40.6089412', 'longitude': '-79.1713822', 'human_address': '{""address"": """", ""city"": ""Indiana"", ""state"": ""Pennsylvania"", ""zip"": ""15701""}'}",415,269,27,15,19
247,DDAP-Licensed Treatment Facility,"STR Addiction Counseling, LLC (Bristol)",921 Radcliffe Street,Bucks,267-244-1107,42,017,9,09,"{'latitude': '40.099203', 'longitude': '-74.847521', 'human_address': '{""address"": """", ""city"": ""Bristol"", ""state"": ""Pennsylvania"", ""zip"": ""19007""}'}",501,126,169,50,35
248,DDAP-Licensed Treatment Facility,B.I. Incorporated,550 Loudon Street,Franklin,717-263-0450,42,055,28,28,"{'latitude': '39.936563', 'longitude': '-77.6723311', 'human_address': '{""address"": """", ""city"": ""Chambersburg"", ""state"": ""Pennsylvania"", ""zip"": ""17201""}'}",712,19,34,19,33
249,DDAP-Licensed Treatment Facility,Jefferson Outreach Drug and Alcohol Program Central,"833 Chestnut Street, Suite 210",Philadelphia,215-955-8856,42,101,51,51,"{'latitude': '39.9559288', 'longitude': '-75.1574567', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19107""}'}",1069,365,183,47,13
250,Center of Excellence,Geisinger Clinic / GIM Danville,100 North Academy Avenue,Montour,904-599-3062,42,093,47,47,"{'latitude': '40.9701', 'longitude': '-76.600922', 'human_address': '{""address"": """", ""city"": ""Danville"", ""state"": ""Pennsylvania"", ""zip"": ""17822""}'}",1425,64,54,22,58
251,DDAP-Licensed Treatment Facility,"Cen-Clear Child Services, Inc.",117 Elk Run Avenue,Jefferson,814-938-6340,42,065,33,33,"{'latitude': '40.9504027', 'longitude': '-78.9642246', 'human_address': '{""address"": """", ""city"": ""Punxsutawney"", ""state"": ""Pennsylvania"", ""zip"": ""15767""}'}",42,306,16,14,20
252,DDAP-Licensed Treatment Facility,"Alpine Springs Rehabilitation & Recovery Center, LLC",226 West Erie Street,Crawford,724-704-0696,42,039,20,20,"{'latitude': '41.656301', 'longitude': '-80.426696', 'human_address': '{""address"": """", ""city"": ""Linesville"", ""state"": ""Pennsylvania"", ""zip"": ""16424""}'}",2080,76,48,3,16
253,DDAP-Licensed Treatment Facility,Beal Counseling and Consulting,"445 Westridge Road, Suite 103",Somerset,814-444-9696,42,111,56,56,"{'latitude': '40.0111424', 'longitude': '-79.1051115', 'human_address': '{""address"": """", ""city"": ""Somerset"", ""state"": ""Pennsylvania"", ""zip"": ""15501""}'}",799,428,30,1,66
254,DDAP-Licensed Treatment Facility,Family Services of Western Pennsylvania Tarentum,201 Corbet Street,Allegheny,724-226-0664,42,003,2,02,"{'latitude': '40.6012272', 'longitude': '-79.7511929', 'human_address': '{""address"": """", ""city"": ""Tarentum"", ""state"": ""Pennsylvania"", ""zip"": ""15084""}'}",531,267,79,9,40
255,DDAP-Licensed Treatment Facility,Home Nursing Agency Community Services,500 East Chestnut Avenue,Blair,814-943-0414,42,013,7,07,"{'latitude': '40.5287838', 'longitude': '-78.3893027', 'human_address': '{""address"": """", ""city"": ""Altoona"", ""state"": ""Pennsylvania"", ""zip"": ""16601""}'}",52,101,29,17,46
256,DDAP-Licensed Treatment Facility,Family Service Association of Bucks County,4 Cornerstone Drive,Bucks,215-757-6916,42,017,9,09,"{'latitude': '40.1745538', 'longitude': '-74.9226665', 'human_address': '{""address"": """", ""city"": ""Langhorne"", ""state"": ""Pennsylvania"", ""zip"": ""19047""}'}",1994,284,165,50,35
257,DDAP-Licensed Treatment Facility,Abstinent Living at The Turning Point at Washington Women With Children,14 West Walnut Street,Washington,724-228-2203,42,125,63,63,"{'latitude': '40.1737831', 'longitude': '-80.2466791', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2097,455,4,12,52
258,DDAP-Licensed Treatment Facility,Path Incorporated,8220 Castor Avenue,Philadelphia,215-728-4600,42,101,51,51,"{'latitude': '40.0653945', 'longitude': '-75.0530963', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19152""}'}",1069,365,124,49,13
259,DDAP-Licensed Treatment Facility,Gateway/Greentree,1016 Greentree Road Suite 300,Allegheny,412-928-5940,42,003,2,02,"{'latitude': '40.4160832', 'longitude': '-80.0453303', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15220""}'}",1652,170,97,6,40
260,DDAP-Licensed Treatment Facility,Arc Manor - Leechburg Satellite,116 Main Street,Armstrong,724-548-7607,42,005,3,03,"{'latitude': '40.627617', 'longitude': '-79.606679', 'human_address': '{""address"": """", ""city"": ""Leechburg"", ""state"": ""Pennsylvania"", ""zip"": ""15656""}'}",1136,311,80,15,41
261,DDAP-Licensed Treatment Facility,Naaman Center,210 South Prince Street,Lancaster,717-394-5495,42,071,36,36,"{'latitude': '40.034105', 'longitude': '-76.307338', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17603""}'}",1993,89,143,25,23
262,DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.","444 East College Avenue, Suite 460",Centre,814-231-0940,42,027,14,14,"{'latitude': '40.7986695', 'longitude': '-77.855674', 'human_address': '{""address"": """", ""city"": ""State College"", ""state"": ""Pennsylvania"", ""zip"": ""16801""}'}",890,406,18,18,5
263,DDAP-Licensed Treatment Facility,Outside In Pathway To Recovery Outpatient Services,196 Hamill School Road,Westmoreland,724-837-1518,42,129,65,65,"{'latitude': '40.2981081', 'longitude': '-79.1835871', 'human_address': '{""address"": """", ""city"": ""Bolivar"", ""state"": ""Pennsylvania"", ""zip"": ""15923""}'}",2452,155,6,13,24
264,DDAP-Licensed Treatment Facility,Bradford Recovery Systems,"116 Interstate Parkway, 5th Floor",McKean,814-362-8421,42,083,42,42,"{'latitude': '41.9564953', 'longitude': '-78.649163', 'human_address': '{""address"": """", ""city"": ""Bradford"", ""state"": ""Pennsylvania"", ""zip"": ""16701""}'}",999,138,14,14,47
265,DDAP-Licensed Treatment Facility,White Deer Run of Lancaster,53-55 North West End Avenue,Lancaster,717-396-0650,42,071,36,36,"{'latitude': '40.0397054', 'longitude': '-76.3231295', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17603""}'}",1993,89,143,25,23
266,DDAP-Licensed Treatment Facility,"Pathway Services, LLC",811 West Chester Pike,Chester,610-269-8396,42,029,15,15,"{'latitude': '39.9666164', 'longitude': '-75.5903876', 'human_address': '{""address"": """", ""city"": ""West Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19382""}'}",1061,480,147,35,6
267,DDAP-Licensed Treatment Facility,Butler Regional Recovery Day Program,One Hospital Way,Butler,724-284-4274,42,019,10,10,"{'latitude': '40.866902', 'longitude': '-79.880632', 'human_address': '{""address"": """", ""city"": ""Butler"", ""state"": ""Pennsylvania"", ""zip"": ""16001""}'}",1388,100,10,5,1
268,DDAP-Licensed Treatment Facility,"Gage House, LP",1813 Holland Street,Erie,814-878-2100,42,049,25,25,"{'latitude': '42.119522', 'longitude': '-80.073651', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16504""}'}",2182,61,51,4,30
269,DDAP-Licensed Treatment Facility,Resources For Human Development,1800 West Street 3rd Floor,Allegheny,412-368-8996,42,003,2,02,"{'latitude': '40.39983', 'longitude': '-79.90489', 'human_address': '{""address"": """", ""city"": ""Homestead"", ""state"": ""Pennsylvania"", ""zip"": ""15120""}'}",322,414,87,11,40
270,DDAP-Licensed Treatment Facility,Sobriety Solutions Pennsylvania,1000 Germantown Pike,Montgomery,484-965-9524,42,091,46,46,"{'latitude': '40.129261', 'longitude': '-75.297043', 'human_address': '{""address"": """", ""city"": ""Plymouth Meeting"", ""state"": ""Pennsylvania"", ""zip"": ""19462""}'}",1046,150,152,41,57
271,DDAP-Licensed Treatment Facility,Safe Haven Treatment Services,5849 Lincoln Highway,York,717-340-6100,42,133,67,67,"{'latitude': '40.017659', 'longitude': '-76.568858', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17406""}'}",2067,196,3,24,12
272,DDAP-Licensed Treatment Facility,"Southwest Behavioral Care, Inc D/B/A SPHS Behavioral Health",203 South Maple Avenue,Westmoreland,724-832-5880,42,129,65,65,"{'latitude': '40.301484', 'longitude': '-79.542522', 'human_address': '{""address"": """", ""city"": ""Greensburg"", ""state"": ""Pennsylvania"", ""zip"": ""15601""}'}",2380,214,81,13,24
273,Center of Excellence,"The Wright Center Medical Group, PC",111 North Washington Avenue,Lackawanna,570-230-0019 ,42,069,35,35,"{'latitude': '41.40765', 'longitude': '-75.664969', 'human_address': '{""address"": """", ""city"": ""Scranton"", ""state"": ""Pennsylvania"", ""zip"": ""18503""}'}",1912,420,101,34,22
274,DDAP-Licensed Treatment Facility,Addiction & Behavioral Counseling Associates,1122 7Th Avenue,Beaver,724-843-0129,42,007,4,04,"{'latitude': '40.752655', 'longitude': '-80.319013', 'human_address': '{""address"": """", ""city"": ""Beaver Falls"", ""state"": ""Pennsylvania"", ""zip"": ""15010""}'}",16,125,25,2,42
275,DDAP-Licensed Treatment Facility,Community Service Foundation Inc.,1307 West Mcdade Boulevard,Delaware,610-833-1722,42,045,23,23,"{'latitude': '39.8699599', 'longitude': '-75.3555525', 'human_address': '{""address"": """", ""city"": ""Woodlyn"", ""state"": ""Pennsylvania"", ""zip"": ""19094""}'}",2304,408,66,39,28
276,DDAP-Licensed Treatment Facility,"Casa De Consejeria Drug and Alcohol Counseling Program, Inc.",213 West Allegheny Avenue,Philadelphia,215-634-3259,42,101,51,51,"{'latitude': '39.9993679', 'longitude': '-75.133684', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19133""}'}",1069,365,182,48,13
277,DDAP-Licensed Treatment Facility,"Monroe County Counseling Services, LLC",18 North 7th Street,Monroe,570-242-8979,42,089,45,45,"{'latitude': '40.985954', 'longitude': '-75.194044', 'human_address': '{""address"": """", ""city"": ""Stroudsburg"", ""state"": ""Pennsylvania"", ""zip"": ""18360""}'}",931,400,110,38,56
278,DDAP-Licensed Treatment Facility,White Deer Run at Blue Mountain,8284 Leaser Road,Lehigh,610-756-4023,42,077,39,39,"{'latitude': '40.6852103', 'longitude': '-75.8518788', 'human_address': '{""address"": """", ""city"": ""Kempton"", ""state"": ""Pennsylvania"", ""zip"": ""19529""}'}",211,45,111,36,26
279,DDAP-Licensed Treatment Facility,Wesley Spectrum Services,"90 West Chestnut Street, Suite EW",Washington,724-222-7500,42,125,63,63,"{'latitude': '40.1705458', 'longitude': '-80.2453512', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2097,455,4,12,52
280,DDAP-Licensed Treatment Facility,White Deer Run of York,1600 Mt Zion Road,York,717-840-2308,42,133,67,67,"{'latitude': '39.992169', 'longitude': '-76.672483', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17402""}'}",547,28,3,28,12
281,DDAP-Licensed Treatment Facility,Gaudenzia Inc. Vantage House,208 East King Street,Lancaster,717-291-1020,42,071,36,36,"{'latitude': '40.038063', 'longitude': '-76.300822', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17602""}'}",1993,89,143,25,23
282,DDAP-Licensed Treatment Facility,"White Deer Run, LLC -  New Castle",413 Highland Avenue,Lawrence,724-657-9916,42,073,37,37,"{'latitude': '41.00403', 'longitude': '-80.3444364', 'human_address': '{""address"": """", ""city"": ""New Castle"", ""state"": ""Pennsylvania"", ""zip"": ""16101""}'}",622,231,22,2,27
283,DDAP-Licensed Treatment Facility,The Consortium - W.O.R.D. 1,"26 South 40th Street, Second Floor",Philadelphia,215-596-8300,42,101,51,51,"{'latitude': '39.95644', 'longitude': '-75.20211', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19104""}'}",1069,365,189,43,13
284,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. People With Hope/Short-Term Program","1306 Spring Garden Street, 8th Floor & 2nd Floor",Philadelphia,215-413-8268,42,101,51,51,"{'latitude': '39.9644541', 'longitude': '-75.145782', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19123""}'}",1069,365,194,47,13
285,DDAP-Licensed Treatment Facility,Diakon Family Life Services,241 Broad Street,Lycoming,570-404-4222,42,081,41,41,"{'latitude': '41.250329', 'longitude': '-76.929114', 'human_address': '{""address"": """", ""city"": ""Montoursville"", ""state"": ""Pennsylvania"", ""zip"": ""17754""}'}",2480,333,75,21,15
286,DDAP-Licensed Treatment Facility,NHS Parkside Recovery,235 - 263 East Lehigh Avenue,Philadelphia,267-761-2849,42,101,51,51,"{'latitude': '39.991359', 'longitude': '-75.127883', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19125""}'}",1069,365,185,48,13
287,DDAP-Licensed Treatment Facility,"ARS of Lancaster, LP",2192 Embassy Drive,Lancaster,717-394-7160,42,071,36,36,"{'latitude': '40.0450013', 'longitude': '-76.3617573', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17603""}'}",1382,262,161,26,23
288,DDAP-Licensed Treatment Facility,Greenbriar Treatment Center At New Kensington,"701 Fourth Avenue, 2nd Floor",Westmoreland,724-339-7180,42,129,65,65,"{'latitude': '40.5697892', 'longitude': '-79.7647705', 'human_address': '{""address"": """", ""city"": ""New Kensington"", ""state"": ""Pennsylvania"", ""zip"": ""15068""}'}",2454,235,79,8,24
289,PacMAT,"Penn State University College of Medicine, Naaman Center",4600 E Harrisburg Pike,Dauphin,717-367-9115,42,043,22,22,"{'latitude': '40.174866', 'longitude': '-76.656023', 'human_address': '{""address"": """", ""city"": ""Elizabethtown"", ""state"": ""Pennsylvania"", ""zip"": ""17022""}'}",1961,158,134,28,18
290,DDAP-Licensed Treatment Facility,Gaudenzia West Shore,4740 Delbrook Road,Cumberland,717-766-8517,42,041,21,21,"{'latitude': '40.22899', 'longitude': '-76.9644', 'human_address': '{""address"": """", ""city"": ""Mechanicsburg"", ""state"": ""Pennsylvania"", ""zip"": ""17050""}'}",770,40,38,20,17
291,DDAP-Licensed Treatment Facility,Lehigh Valley Wellness and Recovery Center,"217 Franklin Avenue, Suite 106",Carbon,610-826-2320,42,025,13,13,"{'latitude': '40.802253', 'longitude': '-75.612922', 'human_address': '{""address"": """", ""city"": ""Palmerton"", ""state"": ""Pennsylvania"", ""zip"": ""18071""}'}",932,281,108,30,4
292,DDAP-Licensed Treatment Facility,"Treatment Trends, Inc. - Half-Way Home of the Lehigh Valley",24 South Fifth Street,Lehigh,610-439-0218,42,077,39,39,"{'latitude': '40.6038156', 'longitude': '-75.4745076', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18101""}'}",455,99,162,36,26
293,DDAP-Licensed Treatment Facility,"Rehab Management, Inc./Rehab After Work","1420 Walnut Street, Suite 500",Philadelphia,215-546-2200,42,101,51,51,"{'latitude': '39.9492133', 'longitude': '-75.1654152', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19102""}'}",1069,365,190,47,13
294,Center of Excellence,Mount Pocono Medical,1151 Pocono Boulevard,Monroe,570-839-7246 x310,42,089,45,45,"{'latitude': '41.135977', 'longitude': '-75.364491', 'human_address': '{""address"": """", ""city"": ""Mount Pocono"", ""state"": ""Pennsylvania"", ""zip"": ""18344""}'}",1027,362,121,38,56
