,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
222,Walgreens Pharmacy (Philadelphia - Frankford Ave),7001 FRANKFORD AVE,Philadelphia,PA,19135,Philadelphia,"{'latitude': '40.033839', 'longitude': '-75.046431', 'human_address': '{""address"": ""7001 FRANKFORD AVE"", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19135""}'}","{'type': 'Point', 'coordinates': [-75.045645, 40.033893]}",40.033893,-75.045645,No,Active,48,13,5,1069,365,184,(215) 543-0715,,Pharmacy,
223,JEFFERSON PHARMACY,833 CHESTNUT ST,PHILADELPHIA,PA,19107,Philadelphia,"{'latitude': '39.949698', 'longitude': '-75.154511', 'human_address': '{""address"": ""833 CHESTNUT ST"", ""city"": ""PHILADELPHIA"", ""state"": ""PA"", ""zip"": ""19107""}'}","{'type': 'Point', 'coordinates': [-75.155315, 39.949891]}",39.949891,-75.155315,No,Active,47,13,6,1069,365,183,,,Pharmacy,
224,CVS #5447,200 S. LINCOLN AVE,NEWTOWN,PA,18940,"BUCKS,PA","{'latitude': '40.225376', 'longitude': '-74.931934', 'human_address': '{""address"": ""200 S. LINCOLN AVE"", ""city"": ""NEWTOWN"", ""state"": ""PA"", ""zip"": ""18940""}'}","{'type': 'Point', 'coordinates': [-74.932294, 40.225846]}",40.225846,-74.932294,No,Active,40,35,4,879,80,168,2154979231,Follows Pharmacy Hours of Operation,Pharmacy,
225,Hummelstown Borough Police Dept.,136 S. Hanover Street,Hummelstown,PA,17036,Dauphin,"{'latitude': '40.262656', 'longitude': '-76.707596', 'human_address': '{""address"": ""136 S. Hanover Street"", ""city"": ""Hummelstown"", ""state"": ""PA"", ""zip"": ""17036""}'}","{'type': 'Point', 'coordinates': [-76.7079259, 40.2626257]}",40.2626257,-76.7079259,Yes,Active,23,18,16,2044,158,69,(717)566-2555,M-F 8am-4:30pm.,Operational,Chief Charles Dowell
226,Robert Packer Hospital (Clinic Pharmacy),One Guthrie Square,Sayre,PA,18840,Bradford,,"{'type': 'Point', 'coordinates': [-76.52087, 41.979747]}",41.979747,-76.52087,No,Active,,,2,,,,,,,
227,Northumberland County Sheriff's Office,201 Market Street,Sunbury,PA,17801,Northumberland,"{'latitude': '40.862086', 'longitude': '-76.794619', 'human_address': '{""address"": ""201 Market Street"", ""city"": ""Sunbury"", ""state"": ""PA"", ""zip"": ""17801""}'}","{'type': 'Point', 'coordinates': [-76.7948881, 40.8621382]}",40.8621382,-76.7948881,Yes,Active,22,60,2,1829,375,73,5709884155,,Operational,Acting Sheriff Robert Wolfe
228,CareSite Pharmacy Gray’s Woods,132 Abigail Lane,Port Matilda,PA,16870,Centre,"{'latitude': '40.815482', 'longitude': '-77.941411', 'human_address': '{""address"": ""132 Abigail Lane"", ""city"": ""Port Matilda"", ""state"": ""PA"", ""zip"": ""16870""}'}","{'type': 'Point', 'coordinates': [-77.941828, 40.814567]}",40.814567,-77.941828,No,Active,18,5,3,991,406,32,814-272-1006,Monday - Friday: 8:30 a.m. – 6 p.m.; Saturday: 9 a.m. – 1 p.m.,Pharmacy,
229,State Police-Troop J / Lancaster,2099 Lincoln Hwy,Lancaster,PA,17602-3384,Lancaster,"{'latitude': '40.030984', 'longitude': '-76.235295', 'human_address': '{""address"": ""2099 Lincoln Hwy"", ""city"": ""Lancaster"", ""state"": ""PA"", ""zip"": ""17602-3384""}'}","{'type': 'Point', 'coordinates': [-76.234345, 40.030775]}",40.030775,-76.234345,No,Active,25,23,15,222,74,144,,,,
230,Valley Township Police Department,890 West Lincoln Highway,Coatesville,PA,19320,Chester,"{'latitude': '39.9844', 'longitude': '-75.845988', 'human_address': '{""address"": ""890 West Lincoln Highway"", ""city"": ""Coatesville"", ""state"": ""PA"", ""zip"": ""19320""}'}","{'type': 'Point', 'coordinates': [-75.8456439, 39.984006]}",39.984006,-75.8456439,No,Active,32,6,14,1023,142,96,(610)384-8133,Monday -Friday 8 a.m. to 4:30 p.m.,Operational,
231,Glenolden Borough Poice Department,38 Boon Avenue,Glenolden,PA,19036,Delaware,"{'latitude': '39.89926', 'longitude': '-75.288004', 'human_address': '{""address"": ""38 Boon Avenue"", ""city"": ""Glenolden"", ""state"": ""PA"", ""zip"": ""19036""}'}","{'type': 'Point', 'coordinates': [-75.2882669, 39.8990902]}",39.8990902,-75.2882669,No,Active,39,28,18,2547,271,67,,Please contact location,Operational,
232,Swarthmore Borough Police Department,121 Park Avenue,Swarthmore,PA,19081,Delaware,"{'latitude': '39.901476', 'longitude': '-75.348909', 'human_address': '{""address"": ""121 Park Avenue"", ""city"": ""Swarthmore"", ""state"": ""PA"", ""zip"": ""19081""}'}","{'type': 'Point', 'coordinates': [-75.348373, 39.9016025]}",39.9016025,-75.348373,No,Active,39,28,18,2051,176,66,,Please contact location,Operational,
233,Washington Township Police Dept.,1021 Washington Boulevard,Bangor,PA,18013,Northampton,"{'latitude': '40.830863', 'longitude': '-75.224679', 'human_address': '{""address"": ""1021 Washington Boulevard"", ""city"": ""Bangor"", ""state"": ""PA"", ""zip"": ""18013""}'}","{'type': 'Point', 'coordinates': [-75.223831, 40.830505]}",40.830505,-75.223831,Yes,Active,38,59,12,1345,118,113,(610)599-7828,,Operational,Chief Scott Miller
234,Upper Chichester Township Polcie Department,8400 Furey Road,Aston,PA,19014,Delaware,"{'latitude': '39.856478', 'longitude': '-75.458895', 'human_address': '{""address"": ""8400 Furey Road"", ""city"": ""Aston"", ""state"": ""PA"", ""zip"": ""19014""}'}","{'type': 'Point', 'coordinates': [-75.459908, 39.858028]}",39.858028,-75.459908,No,Active,35,28,18,1593,10,64,(610)485-8400,24 hours a day/ 7 days a week,Operational,
235,Ferguson Township Police Dept.,3147 Research Drive,State College,PA,16801,Centre,"{'latitude': '40.761752', 'longitude': '-77.875145', 'human_address': '{""address"": ""3147 Research Drive"", ""city"": ""State College"", ""state"": ""PA"", ""zip"": ""16801""}'}","{'type': 'Point', 'coordinates': [-77.87465, 40.762249]}",40.762249,-77.87465,Yes,Active,18,5,2,765,406,71,(814)237-1172,,,Chiefn Diane M. Conrad
236,Delaware County Government Center,201 W. Front Street,Media,PA,19063,Delaware,,"{'type': 'Point', 'coordinates': [-75.3912764, 39.9197129]}",39.9197129,-75.3912764,No,Active,,,18,,,,(610)891-5381,M-F 8:30-4:30,Operational,
237,West Norriton Police Dept.,1630 W. Marshall Street,Norristown,PA,19403,Montgomery,"{'latitude': '40.128972', 'longitude': '-75.364591', 'human_address': '{""address"": ""1630 W. Marshall Street"", ""city"": ""Norristown"", ""state"": ""PA"", ""zip"": ""19403""}'}","{'type': 'Point', 'coordinates': [-75.364735, 40.129026]}",40.129026,-75.364735,Yes,Active,33,57,8,1034,301,174,(610)630-1701,,Unknown,Chief Dale Mabry
238,HAYDENS PHARMACY,505 NORTH FOURTH STREET,YOUNGWOOD,PA,15697,Westmoreland,"{'latitude': '40.246111', 'longitude': '-79.574993', 'human_address': '{""address"": ""505 NORTH FOURTH STREET"", ""city"": ""YOUNGWOOD"", ""state"": ""PA"", ""zip"": ""15697""}'}","{'type': 'Point', 'coordinates': [-79.575455, 40.246066]}",40.246066,-79.575455,No,Active,13,24,9,975,263,81,,,Pharmacy,
239,Bensalem Township Police,2400 Byberry Road,Bensalem,PA,19020,Bucks,"{'latitude': '40.110185', 'longitude': '-74.94248', 'human_address': '{""address"": ""2400 Byberry Road"", ""city"": ""Bensalem"", ""state"": ""PA"", ""zip"": ""19020""}'}","{'type': 'Point', 'coordinates': [-74.9426823, 40.1099175]}",40.1099175,-74.9426823,No,Active,50,35,4,224,6,119,(215)633-3700,,Operational,
240,Blairsville Borough Police Dept.,201 E. Market Street,Blairsville,PA,15717,Indiana,"{'latitude': '40.431038', 'longitude': '-79.260559', 'human_address': '{""address"": ""201 E. Market Street"", ""city"": ""Blairsville"", ""state"": ""PA"", ""zip"": ""15717""}'}","{'type': 'Point', 'coordinates': [-79.2604859, 40.4310432]}",40.4310432,-79.2604859,Yes,Active,15,19,3,1537,132,27,(724)459-7555,24 hours a day/7 days a week.,Operational,Chief Michael Allman
241,Ralpho Township Police Dept.,"206 South Market St., Suite 4",Elysburg,PA,17824,Northumberland,"{'latitude': '40.86235', 'longitude': '-76.549945', 'human_address': '{""address"": ""206 South Market St., Suite 4"", ""city"": ""Elysburg"", ""state"": ""PA"", ""zip"": ""17824""}'}","{'type': 'Point', 'coordinates': [-76.543191, 40.854944]}",40.854944,-76.543191,Yes,Active,22,60,1,2144,471,54,(570)672-9892,,,Chief Stuart Appel
242,Connellsville Police Dept.,110 North Arch Street,Connellsville,PA,15425,Fayette,"{'latitude': '40.018181', 'longitude': '-79.591499', 'human_address': '{""address"": ""110 North Arch Street"", ""city"": ""Connellsville"", ""state"": ""PA"", ""zip"": ""15425""}'}","{'type': 'Point', 'coordinates': [-79.591605, 40.018555]}",40.018555,-79.591605,Yes,Active,1,31,9,529,77,8,(724)628-2501,,,Chief William Hammerle
243,Warwick Township Police,1733 Township Greene,Jamison,PA,18929,Bucks,"{'latitude': '40.248215', 'longitude': '-75.095718', 'human_address': '{""address"": ""1733 Township Greene"", ""city"": ""Jamison"", ""state"": ""PA"", ""zip"": ""18929""}'}","{'type': 'Point', 'coordinates': [-75.0890348, 40.2548974]}",40.2548974,-75.0890348,No,Active,50,35,4,397,22,158,(215)343-6102 ext. 411,M-F 8-4,Operational,
244,Penn Township Police Dept.,2000 Commercial Drive,Irwin,PA,15642,Westmoreland,"{'latitude': '40.359453', 'longitude': '-79.678893', 'human_address': '{""address"": ""2000 Commercial Drive"", ""city"": ""Irwin"", ""state"": ""PA"", ""zip"": ""15642""}'}","{'type': 'Point', 'coordinates': [-79.6795819, 40.3588941]}",40.3588941,-79.6795819,Yes,Active,13,24,9,96,341,82,(724)863-1119,M-F 8:00 a.m.-4:00 p.m.,Operational,Lt. Michael Shirey
245,Kutztown Police Department,45 Railroad Street,Kutztown,PA,19530,Berks,"{'latitude': '40.482027', 'longitude': '-75.757337', 'human_address': '{""address"": ""45 Railroad Street"", ""city"": ""Kutztown"", ""state"": ""PA"", ""zip"": ""19530""}'}","{'type': 'Point', 'coordinates': [-75.7760687, 40.5207809]}",40.5207809,-75.7760687,No,Active,31,45,1,299,177,111,(610)683-3545,Monday to Friday 8am – 4:30pm,Operational,Chief Craig M. Summers
246,Erie County Courthouse Lobby,140 W 6th St,Erie,PA,16501,Erie,"{'latitude': '42.128597', 'longitude': '-80.087526', 'human_address': '{""address"": ""140 W 6th St"", ""city"": ""Erie"", ""state"": ""PA"", ""zip"": ""16501""}'}","{'type': 'Point', 'coordinates': [-80.0881379, 42.1292995]}",42.1292995,-80.0881379,No,Active,4,30,11,2182,61,50,(814)451-6000,M-F 8:30-4:30 (@ front door),Operational,
247,Bridgeport Borough Police Dept.,4th & Mill Streets,Bridgeport,PA,19405,Montgomery,,"{'type': 'Point', 'coordinates': [-75.3451838, 40.1051084]}",40.1051084,-75.3451838,Yes,Active,,,8,,,,(610)272-5660,M-F 8am-4pm,Operational,Chief John Dougherty
248,Lower Allen Township Police Dept.,2233 Gettysburg Road,Camp Hill,PA,17011,Cumberland,"{'latitude': '40.230354', 'longitude': '-76.918941', 'human_address': '{""address"": ""2233 Gettysburg Road"", ""city"": ""Camp Hill"", ""state"": ""PA"", ""zip"": ""17011""}'}","{'type': 'Point', 'coordinates': [-76.9184632, 40.229801]}",40.229801,-76.9184632,Yes,Active,20,17,16,1266,486,39,(717)975-7575,"M–F, 8am–4pm",Operational,Chief Frank Williamson
249,CVS #1617,50 BRIDGEST.,TUNKHANNOCK,PA,18657,"WYOMING,PA",,"{'type': 'Point', 'coordinates': [-75.946578, 41.537279]}",41.537279,-75.946578,No,Active,,,2,,,,5708366777,Follows Pharmacy Hours of Operation,Pharmacy,
250,Leetsdale Police Dept.,"373 Beaver Street, Suite B",Leetsdale,PA,15056,Allegheny,"{'latitude': '40.566317', 'longitude': '-80.209139', 'human_address': '{""address"": ""373 Beaver Street, Suite B"", ""city"": ""Leetsdale"", ""state"": ""PA"", ""zip"": ""15056""}'}","{'type': 'Point', 'coordinates': [-80.209041, 40.566095]}",40.566095,-80.209041,Yes,Active,7,40,17,959,382,156,(724)266-4820 Ord 7/29/16,,,Ms. Jennifer Simek
251,State Police-Troop F / Coudersport,3140 E Second St.,Coudersport,PA,16915,Potter,"{'latitude': '41.768162', 'longitude': '-77.87419', 'human_address': '{""address"": ""3140 E Second St."", ""city"": ""Coudersport"", ""state"": ""PA"", ""zip"": ""16915""}'}","{'type': 'Point', 'coordinates': [-77.974001, 41.766316]}",41.766316,-77.974001,No,Active,14,63,2,2155,58,14,,,,
252,Sharon Hill Borough Police Department,250 Sharon Avenue,Sharon Hill,PA,19079,Delaware,"{'latitude': '39.90684', 'longitude': '-75.272298', 'human_address': '{""address"": ""250 Sharon Avenue"", ""city"": ""Sharon Hill"", ""state"": ""PA"", ""zip"": ""19079""}'}","{'type': 'Point', 'coordinates': [-75.2723393, 39.9066575]}",39.9066575,-75.2723393,No,Active,44,28,18,1923,469,199,,Please contact location,Operational,
253,Lower Merion Township Police Department,71 East Lancaster Ave.,Ardmore,PA,19003-2323,Montgomery,"{'latitude': '40.006631', 'longitude': '-75.288522', 'human_address': '{""address"": ""71 East Lancaster Ave."", ""city"": ""Ardmore"", ""state"": ""PA"", ""zip"": ""19003-2323""}'}","{'type': 'Point', 'coordinates': [-75.2880319, 40.0069382]}",40.0069382,-75.2880319,No,Active,41,57,18,673,230,175,(610)649-1000,M-F 7:30-5:00,Operational,Superintendent Michael J McGrath
254,East Franklin Township Police Dept.,106 Cherry Orchard Avenue,Kittaning,PA,16201,Armstrong,"{'latitude': '40.852902', 'longitude': '-79.55198', 'human_address': '{""address"": ""106 Cherry Orchard Avenue"", ""city"": ""Kittaning"", ""state"": ""PA"", ""zip"": ""16201""}'}","{'type': 'Point', 'coordinates': [-79.552529, 40.852416]}",40.852416,-79.552529,Yes,Active,15,41,3,1101,106,11,(724)543-1944,,,Sgt. William Evans
255,Upper Providence Township Police Department,935 N. Providence Road,Media,PA,19063,Delaware,"{'latitude': '39.930224', 'longitude': '-75.387574', 'human_address': '{""address"": ""935 N. Providence Road"", ""city"": ""Media"", ""state"": ""PA"", ""zip"": ""19063""}'}","{'type': 'Point', 'coordinates': [-75.3869859, 39.930623]}",39.930623,-75.3869859,No,Active,39,28,18,427,380,63,,Please contact location,Operational,
256,Bangor Police Dept.,30 1st Street,Bangor,PA,18013,Northampton,"{'latitude': '40.540252', 'longitude': '-75.48692', 'human_address': '{""address"": ""30 1st Street"", ""city"": ""Bangor"", ""state"": ""PA"", ""zip"": ""18013""}'}","{'type': 'Point', 'coordinates': [-75.206484, 40.867433]}",40.867433,-75.206484,Yes,Active,10,26,12,1424,159,139,(610)588-4720,,Operational,Chief Scott Felchock
257,City of Hermitage Police Dept.,800 North Hermitage Road,Hermitage,PA,16148,Mercer,"{'latitude': '41.244266', 'longitude': '-80.449854', 'human_address': '{""address"": ""800 North Hermitage Road"", ""city"": ""Hermitage"", ""state"": ""PA"", ""zip"": ""16148""}'}","{'type': 'Point', 'coordinates': [-80.4488565, 41.2441815]}",41.2441815,-80.4488565,Yes,Active,3,54,11,985,266,26,(724)981-6780,M-F 10am-2pm.,Operational,Chief Brian Blair
258,Cranberry Township Police Dept.,2525 Rochester Road,Cranberry Township,PA,16066,Butler,"{'latitude': '40.698949', 'longitude': '-80.107458', 'human_address': '{""address"": ""2525 Rochester Road"", ""city"": ""Cranberry Township"", ""state"": ""PA"", ""zip"": ""16066""}'}","{'type': 'Point', 'coordinates': [-80.1080657, 40.6980258]}",40.6980258,-80.1080657,Yes,Active,5,1,17,254,426,9,(724)776-5180,M-F 8am-10pm Sat 9-3,Operational,Dir. Jeffrey A. Schueler
259,Walnutport Borough Police Dept.,417 S. Lincoln Avenue,Walnutport,PA,18088,Northampton,"{'latitude': '40.751901', 'longitude': '-75.594571', 'human_address': '{""address"": ""417 S. Lincoln Avenue"", ""city"": ""Walnutport"", ""state"": ""PA"", ""zip"": ""18088""}'}","{'type': 'Point', 'coordinates': [-75.594231, 40.752507]}",40.752507,-75.594231,Yes,Active,38,59,12,2130,308,115,(610)767-1134,,Operational,Chief Peter Wayda
260,State Police-Troop P / Towanda,101 Hawkins Rd.,Towanda,PA,18848,Bradford,"{'latitude': '41.796154', 'longitude': '-76.485391', 'human_address': '{""address"": ""101 Hawkins Rd."", ""city"": ""Towanda"", ""state"": ""PA"", ""zip"": ""18848""}'}","{'type': 'Point', 'coordinates': [-76.485428, 41.796164]}",41.796164,-76.485428,No,Active,21,34,2,442,349,88,,,,
261,Berwick Police Dept.,1800 North Market Street,Berwick,PA,18603,Columbia,"{'latitude': '41.066989', 'longitude': '-76.245566', 'human_address': '{""address"": ""1800 North Market Street"", ""city"": ""Berwick"", ""state"": ""PA"", ""zip"": ""18603""}'}","{'type': 'Point', 'coordinates': [-76.245496, 41.067361]}",41.067361,-76.245496,Yes,Active,22,10,1,1697,120,90,(570)752-3677,"M,T,Th,F 8am-5pm/Wed 8am-12:30pm.",Operational,Chief Kenneth Strish
262,Cambridge Springs Police Dept.,161 Carringer Street,Cambridge Springs,PA,16403,Crawford,"{'latitude': '41.804849', 'longitude': '-80.060573', 'human_address': '{""address"": ""161 Carringer Street"", ""city"": ""Cambridge Springs"", ""state"": ""PA"", ""zip"": ""16403""}'}","{'type': 'Point', 'coordinates': [-80.0606766, 41.804587]}",41.804587,-80.0606766,No,Active,3,16,11,448,344,47,(814)398-4112,,Operational,Chief Eric C. Johnston
263,Midland Borough Police Dept.,936 Midland Avenue,Midland,PA,15059,Beaver,"{'latitude': '40.642266', 'longitude': '-80.461382', 'human_address': '{""address"": ""936 Midland Avenue"", ""city"": ""Midland"", ""state"": ""PA"", ""zip"": ""15059""}'}","{'type': 'Point', 'coordinates': [-80.461215, 40.64245]}",40.64245,-80.461215,Yes,Active,2,42,17,1479,256,13,(724)643-1155,,,Chief Keith McCarthy
264,CVS #8979,550 NORTH PROGRESS AVE.,HARRISBURG,PA,17109,"DAUPHIN,PA","{'latitude': '40.298771', 'longitude': '-76.845922', 'human_address': '{""address"": ""550 NORTH PROGRESS AVE."", ""city"": ""HARRISBURG"", ""state"": ""PA"", ""zip"": ""17109""}'}","{'type': 'Point', 'coordinates': [-76.846735, 40.298483]}",40.298483,-76.846735,No,Active,23,18,16,1524,418,41,7176571149,Follows Pharmacy Hours of Operation,Pharmacy,
265,WellSpan Pharmacy (York),"25 Monument Road, Suite 265",York,PA,17403,York,"{'latitude': '39.923562', 'longitude': '-76.716233', 'human_address': '{""address"": ""25 Monument Road, Suite 265"", ""city"": ""York"", ""state"": ""PA"", ""zip"": ""17403""}'}","{'type': 'Point', 'coordinates': [-76.716599, 39.924695]}",39.924695,-76.716599,No,Active,24,12,16,470,43,136,717-741-8150,"Mon-Fri 8:00 am - 8:00 pm, Saturday 8:00 am to noon",Pharmacy,Clint Roderick
266,Pequea Township Municipal Office,"1028 Millwood Road, Willow St, PA 17584",Lancaster,PA,17584,Lancaster,,"{'type': 'Point', 'coordinates': [-76.2888069, 39.9626845]}",39.9626845,-76.2888069,No,Active,,,15,,,,717-464-2322,,,
267,"CVS PHARMACY, L.L.C. # 04051 (PITTSBURGH)",1740 WASHINGTON RD,PITTSBURGH,PA,15241,Allegheny,"{'latitude': '40.347269', 'longitude': '-80.054685', 'human_address': '{""address"": ""1740 WASHINGTON RD"", ""city"": ""PITTSBURGH"", ""state"": ""PA"", ""zip"": ""15241""}'}","{'type': 'Point', 'coordinates': [-80.055004, 40.347631]}",40.347631,-80.055004,No,Active,7,40,10,2220,460,160,,,Pharmacy,
268,CVS #1681,"311 BELLEFONTE AVE,",LOCK HAVEN,PA,17745,"CLINTON,PA","{'latitude': '41.135235', 'longitude': '-77.45213', 'human_address': '{""address"": ""311 BELLEFONTE AVE,"", ""city"": ""LOCK HAVEN"", ""state"": ""PA"", ""zip"": ""17745""}'}","{'type': 'Point', 'coordinates': [-77.452359, 41.135437]}",41.135437,-77.452359,No,Active,14,9,2,1084,206,74,5707488260,Follows Pharmacy Hours of Operation,Pharmacy,
269,Hopewell Township Police Dept.,1700 Clark Boulevard,Aliquippa,PA,15001,Beaver,"{'latitude': '40.592688', 'longitude': '-80.263848', 'human_address': '{""address"": ""1700 Clark Boulevard"", ""city"": ""Aliquippa"", ""state"": ""PA"", ""zip"": ""15001""}'}","{'type': 'Point', 'coordinates': [-80.263534, 40.592455]}",40.592455,-80.263534,Yes,Active,12,42,17,2391,259,156,(724)378-0557,,,Chief Brian Uhrmacher
270,Boyertown Bourough Hall,100 S. Washington St,Boyertown,PA,19512,Berks,"{'latitude': '40.33042', 'longitude': '-75.636779', 'human_address': '{""address"": ""100 S. Washington St"", ""city"": ""Boyertown"", ""state"": ""PA"", ""zip"": ""19512""}'}","{'type': 'Point', 'coordinates': [-75.6365, 40.330627]}",40.330627,-75.6365,No,Active,37,45,8,409,137,116,,,Operational,
271,Selinsgrove Police Dept.,100 W. Pine Street,Selinsgrove,PA,17870,Snyder,"{'latitude': '40.799642', 'longitude': '-76.863488', 'human_address': '{""address"": ""100 W. Pine Street"", ""city"": ""Selinsgrove"", ""state"": ""PA"", ""zip"": ""17870""}'}","{'type': 'Point', 'coordinates': [-76.8634474, 40.7998064]}",40.7998064,-76.8634474,Yes,Active,22,65,2,1769,421,72,(570)374-8655,"Monday to Friday, 8:00AM to 12:00PM, 1:00PM to 4:00PM.",Operational,Chief Thomas L. Garlock
272,Wilkes Barre Police Department,150 Watson St,Wilkes-Barre,PA,18711,Luzerne,"{'latitude': '41.227937', 'longitude': '-75.870125', 'human_address': '{""address"": ""150 Watson St"", ""city"": ""Wilkes-Barre"", ""state"": ""PA"", ""zip"": ""18711""}'}","{'type': 'Point', 'coordinates': [-75.871223, 41.227177]}",41.227177,-75.871223,No,Active,30,14,7,216,453,99,(570) 208-4635,,,
273,West Caln Township Police Department,721 W Kings Highway,Coatesville,PA,19320,Chester,"{'latitude': '40.010323', 'longitude': '-75.867714', 'human_address': '{""address"": ""721 W Kings Highway"", ""city"": ""Coatesville"", ""state"": ""PA"", ""zip"": ""19320""}'}","{'type': 'Point', 'coordinates': [-75.867754, 40.011003]}",40.011003,-75.867754,No,Active,33,6,14,987,142,44,(610)384-3115,Monday-Friday 8 a.m. to 4 p.m.,Operational,
274,Lower Saucon Township Police Dept.,3700 Old Philadelphia Pike,Bethlehem,PA,18015,Northampton,"{'latitude': '40.586055', 'longitude': '-75.38878', 'human_address': '{""address"": ""3700 Old Philadelphia Pike"", ""city"": ""Bethlehem"", ""state"": ""PA"", ""zip"": ""18015""}'}","{'type': 'Point', 'coordinates': [-75.389516, 40.58602]}",40.58602,-75.389516,Yes,Active,10,59,12,2244,334,139,(610)317-6110,,Operational,Chief Guy Lesser
275,CareSite Pharmacy - CWB,175 S. Wilkes Barre Blvd.,Wilkes-Barre,PA,18702,Luzerne,"{'latitude': '41.239254', 'longitude': '-75.883518', 'human_address': '{""address"": ""175 S. Wilkes Barre Blvd."", ""city"": ""Wilkes-Barre"", ""state"": ""PA"", ""zip"": ""18702""}'}","{'type': 'Point', 'coordinates': [-75.883577, 41.240107]}",41.240107,-75.883577,No,Active,30,14,7,1517,453,99,570-821-0808,Monday - Friday: 9 a.m. – 6 p.m / Saturday: 9 a.m. – 1 p.m.,,
276,Giant Eagle Pharmacy #0071,181 Sophrira Lane,Altoona,PA,16602,Blair,"{'latitude': '40.48529', 'longitude': '-78.38756', 'human_address': '{""address"": ""181 Sophrira Lane"", ""city"": ""Altoona"", ""state"": ""PA"", ""zip"": ""16602""}'}","{'type': 'Point', 'coordinates': [-78.387245, 40.484056]}",40.484056,-78.387245,No,Active,17,46,13,1909,101,29,(814) 946-4267,Pharmacy Hours,Pharmacy,
277,Springfield Township Police Department,50 Powell Road,Springfield,PA,19064,Delaware,"{'latitude': '39.930568', 'longitude': '-75.328935', 'human_address': '{""address"": ""50 Powell Road"", ""city"": ""Springfield"", ""state"": ""PA"", ""zip"": ""19064""}'}","{'type': 'Point', 'coordinates': [-75.3283273, 39.9315992]}",39.9315992,-75.3283273,No,Active,39,28,18,2310,412,62,(610)544-1100,M-F 8:30-4:30,Operational,
278,Philadelphia Police Dept.-6th Police District,235 N. 11th Street,Philadelphia,PA,19107,Philadelphia,"{'latitude': '39.956643', 'longitude': '-75.157243', 'human_address': '{""address"": ""235 N. 11th Street"", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19107""}'}","{'type': 'Point', 'coordinates': [-75.157075, 39.956668]}",39.956668,-75.157075,Yes,Active,47,13,6,1069,365,183,(215)686-3060,,Operational,Capt. Brian Korn
279,North Sewickley Township Police Dept.,893 Mercer Road,Beaver Falls,PA,15010,Beaver,"{'latitude': '40.796647', 'longitude': '-80.290575', 'human_address': '{""address"": ""893 Mercer Road"", ""city"": ""Beaver Falls"", ""state"": ""PA"", ""zip"": ""15010""}'}","{'type': 'Point', 'coordinates': [-80.291193, 40.796873]}",40.796873,-80.291193,Yes,Active,2,42,17,1443,369,25,(724)843-8118,,,Chief Jeff Becze
280,Weis Market (Mifflinburg),65 Meadow Green Dr,Mifflinburg,PA,17844,Union,"{'latitude': '40.92452', 'longitude': '-77.03123', 'human_address': '{""address"": ""65 Meadow Green Dr"", ""city"": ""Mifflinburg"", ""state"": ""PA"", ""zip"": ""17844""}'}","{'type': 'Point', 'coordinates': [-77.0311141, 40.9240018]}",40.9240018,-77.0311141,No,Active,21,49,2,1827,296,72,570) 966-6500,7:00am - 9:00pm; Mon - Fri,active,
281,Youngsville Borough Police Department,40 Railroad St,Youngsville,PA,16371,Warren,"{'latitude': '41.850287', 'longitude': '-79.317264', 'human_address': '{""address"": ""40 Railroad St"", ""city"": ""Youngsville"", ""state"": ""PA"", ""zip"": ""16371""}'}","{'type': 'Point', 'coordinates': [-79.3172997, 41.8503836]}",41.8503836,-79.3172997,No,Active,5,51,3,2167,234,60,(814) 563-7555,8am til 4pm M-F or by police appt. any other times,Operational,Chief Todd Mineweaser
282,Mercyhurst University Main Police,501 E 38th St,Erie,PA,16546,Erie,"{'latitude': '42.106651', 'longitude': '-80.054725', 'human_address': '{""address"": ""501 E 38th St"", ""city"": ""Erie"", ""state"": ""PA"", ""zip"": ""16546""}'}","{'type': 'Point', 'coordinates': [-80.0524301, 42.1039014]}",42.1039014,-80.0524301,No,Active,4,30,11,2182,61,51,(814)824-2304,Please contact location,Operational,
283,Mt. Pleasant Police Dept.,"Box 119, Etze Avenue",Mt. Pleasant,PA,15666,Westmoreland,,"{'type': 'Point', 'coordinates': [-79.5411497, 40.1489607]}",40.1489607,-79.5411497,Yes,Active,,,9,,,,(724)547-7210,24/7,Operational,Chief Stephen Ober
284,Tilden Twp. Police Department,870 Hex Highway,Hamburg,PA,19526,Berks,"{'latitude': '40.53948', 'longitude': '-76.014924', 'human_address': '{""address"": ""870 Hex Highway"", ""city"": ""Hamburg"", ""state"": ""PA"", ""zip"": ""19526""}'}","{'type': 'Point', 'coordinates': [-76.0197728, 40.5380941]}",40.5380941,-76.0197728,No,Active,27,45,1,458,222,55,(610)562-9001,"Monday to Friday 7am-10pm, Sunday 12pm -8pm",Operational,
